reference_id,module_id,status,requirement,source_document,source_section,source_extract_id,notes
BR-REF-0001,M07-M08,FUTURE_1_1_REFERENCE,05 / CASA PRO / KZ,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,Document front matter,SRC-DOC-BR-F-00001,Standard/reference only; not a real bank rules pack.
BR-REF-0002,M07-M08,FUTURE_1_1_REFERENCE,"ФИНАЛЬНАЯ PRODUCTION-СПЕЦИФИКАЦИЯ
ЕДИНОГО СТАНДАРТА ПРАВИЛ БАНКОВ CASA PRO",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,Document front matter,SRC-DOC-BR-F-00002,Standard/reference only; not a real bank rules pack.
BR-REF-0003,M07-M08,FUTURE_1_1_REFERENCE,"CASA PRO — BANK RULES STANDARD & PROGRAM KNOWLEDGE BASE
Версия 1.0 · 21 августа 2026 г.",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,Document front matter,SRC-DOC-BR-F-00003,Standard/reference only; not a real bank rules pack.
BR-REF-0004,M07-M08,FUTURE_1_1_REFERENCE,"Главный смысл документа
Это НЕ единые условия для всех банков. Это единый язык и единая форма хранения, по которой CASA описывает каждый банк и каждую ипотечную программу отдельно. Профиль клиента из блоков №1–4 остаётся один; меняются только версионные правила программы. Благодаря этому Halyk, BCC, Freedom, Forte, Altyn, Bereke и другие могут сравниваться одним детерминированным движком без банковских догадок.: Главный смысл документа
Это НЕ единые условия для всех банков. Это единый язык и единая форма хранения, по которой CASA описывает каждый банк и каждую ипотечную программу отдельно. Профиль клиента из блоков №1–4 остаётся один; меняются только версионные правила программы. Благодаря этому Halyk, BCC, Freedom, Forte, Altyn, Bereke и другие могут сравниваться одним детерминированным движком без банковских догадок.",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,Document front matter,SRC-DOC-BR-F-00004,Standard/reference only; not a real bank rules pack.
BR-REF-0005,M07-M08,FUTURE_1_1_REFERENCE,"Вход в стандарт: IIN-check snapshot
Credit History snapshot
Pension snapshot
Client Profile snapshot; Что стандартизируем: Bank → Program → Program Version → atomic Rules → Sources → Intake; Что получаем: воспроизводимый verdict по каждой программе + explain trace + UNKNOWN/MANUAL без выдумки",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,Document front matter,SRC-DOC-BR-F-00006,Standard/reference only; not a real bank rules pack.
BR-REF-0006,M07-M08,FUTURE_1_1_REFERENCE,Статус: implementation-ready как стандарт. Наполнение конкретных банков выполняется отдельными bank research packs.,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,Document front matter,SRC-DOC-BR-F-00007,Standard/reference only; not a real bank rules pack.
BR-REF-0007,M07-M08,FUTURE_1_1_REFERENCE,"Основание
Спецификация продолжает утверждённые блоки №1 «Проверка по ИИН», №2 «Кредитная история», №3 «Пенсионные отчисления», №4 «Профиль клиента» и структуру CASA Pro v2.0: Program Knowledge Base владеет bank, mortgage_program, program_version, program_rule, rule_source, program_intake; Decision Engine владеет case_snapshot, analysis и scenario.: Основание
Спецификация продолжает утверждённые блоки №1 «Проверка по ИИН», №2 «Кредитная история», №3 «Пенсионные отчисления», №4 «Профиль клиента» и структуру CASA Pro v2.0: Program Knowledge Base владеет bank, mortgage_program, program_version, program_rule, rule_source, program_intake; Decision Engine владеет case_snapshot, analysis и scenario.",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,"§1 Scope, наследование и системный контракт",SRC-DOC-BR-F-00009,Standard/reference only; not a real bank rules pack.
BR-REF-0008,M07-M08,FUTURE_1_1_REFERENCE,"Задаёт единую модель банка, ипотечной программы, версии, атомарного правила, источника и статуса фактического приёма программы.",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§1.1 Что делает этот блок,SRC-DOC-BR-F-00011,Standard/reference only; not a real bank rules pack.
BR-REF-0009,M07-M08,FUTURE_1_1_REFERENCE,Задаёт единый словарь типов правил и ссылок на входные поля из блоков №1–4.,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§1.1 Что делает этот блок,SRC-DOC-BR-F-00012,Standard/reference only; not a real bank rules pack.
BR-REF-0010,M07-M08,FUTURE_1_1_REFERENCE,"Определяет, как хранить пороги, формулы, таблицы, исключения, условия и неизвестность без hard-code в UI.",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§1.1 Что делает этот блок,SRC-DOC-BR-F-00013,Standard/reference only; not a real bank rules pack.
BR-REF-0011,M07-M08,FUTURE_1_1_REFERENCE,"Определяет source governance: источник, checked_at, effective dates, TTL, maker-checker, diff и конфликт источников.",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§1.1 Что делает этот блок,SRC-DOC-BR-F-00014,Standard/reference only; not a real bank rules pack.
BR-REF-0012,M07-M08,FUTURE_1_1_REFERENCE,Определяет детерминированное агрегирование rule results в ELIGIBLE / CONDITIONAL / INELIGIBLE / MANUAL / STALE / CONFLICT.,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§1.1 Что делает этот блок,SRC-DOC-BR-F-00015,Standard/reference only; not a real bank rules pack.
BR-REF-0013,M07-M08,FUTURE_1_1_REFERENCE,"Задаёт формат research pack, по которому затем собирается каждый конкретный банк.",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§1.1 Что делает этот блок,SRC-DOC-BR-F-00016,Standard/reference only; not a real bank rules pack.
BR-REF-0014,M07-M08,FUTURE_1_1_REFERENCE,не утверждает реальные условия Halyk/BCC/Freedom или другого банка — это отдельное наполнение после исследования;,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§1.2 Что блок НЕ делает,SRC-DOC-BR-F-00018,Standard/reference only; not a real bank rules pack.
BR-REF-0015,M07-M08,FUTURE_1_1_REFERENCE,не превращает брокерский опыт или слух в банковское правило;,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§1.2 Что блок НЕ делает,SRC-DOC-BR-F-00019,Standard/reference only; not a real bank rules pack.
BR-REF-0016,M07-M08,FUTURE_1_1_REFERENCE,не переписывает исходные факты клиента; BANK_RULE только потребляет snapshots;,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§1.2 Что блок НЕ делает,SRC-DOC-BR-F-00020,Standard/reference only; not a real bank rules pack.
BR-REF-0017,M07-M08,FUTURE_1_1_REFERENCE,не подаёт заявку в банк и не называет preliminary verdict банковским одобрением;,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§1.2 Что блок НЕ делает,SRC-DOC-BR-F-00021,Standard/reference only; not a real bank rules pack.
BR-REF-0018,M07-M08,FUTURE_1_1_REFERENCE,"не пытается свести Отбасы к обычной аннуитетной программе: его расчёт остаётся отдельным движком, но выдаёт совместимый результат.",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§1.2 Что блок НЕ делает,SRC-DOC-BR-F-00022,Standard/reference only; not a real bank rules pack.
BR-REF-0019,M07-M08,FUTURE_1_1_REFERENCE,"Инвариант
FACT ≠ BANK_RULE ≠ VERDICT. Факт клиента принадлежит блокам №1–4. Правило принадлежит Program Knowledge Base. Verdict принадлежит Decision Engine и всегда хранит exact snapshot_id + program_version_id + engine_version.: Инвариант
FACT ≠ BANK_RULE ≠ VERDICT. Факт клиента принадлежит блокам №1–4. Правило принадлежит Program Knowledge Base. Verdict принадлежит Decision Engine и всегда хранит exact snapshot_id + program_version_id + engine_version.",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§1.2 Что блок НЕ делает,SRC-DOC-BR-F-00023,Standard/reference only; not a real bank rules pack.
BR-REF-0020,M07-M08,FUTURE_1_1_REFERENCE,Уровень: bank; Назначение: Юридическая/брендовая идентичность кредитора; Изменяется когда: меняется статус банка/название; история сохраняется; Пример идентичности: bank_x,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§2 Каноническая иерархия Bank → Program → Version → Rule,SRC-DOC-BR-F-00026,Standard/reference only; not a real bank rules pack.
BR-REF-0021,M07-M08,FUTURE_1_1_REFERENCE,Уровень: mortgage_program; Назначение: Стабильный продукт независимо от редакций; Изменяется когда: создан/закрыт сам продукт; Пример идентичности: bank_x_mortgage_y,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§2 Каноническая иерархия Bank → Program → Version → Rule,SRC-DOC-BR-F-00027,Standard/reference only; not a real bank rules pack.
BR-REF-0022,M07-M08,FUTURE_1_1_REFERENCE,Уровень: program_version; Назначение: Неизменяемый паспорт условий на период; Изменяется когда: изменился хотя бы один значимый параметр/правило; Пример идентичности: 2026.08.v3,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§2 Каноническая иерархия Bank → Program → Version → Rule,SRC-DOC-BR-F-00028,Standard/reference only; not a real bank rules pack.
BR-REF-0023,M07-M08,FUTURE_1_1_REFERENCE,Уровень: program_rule; Назначение: Одно атомарное условие/формула/параметр; Изменяется когда: создаётся внутри версии; опубликованное не редактируется; Пример идентичности: AGE_AT_MATURITY_MAX,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§2 Каноническая иерархия Bank → Program → Version → Rule,SRC-DOC-BR-F-00029,Standard/reference only; not a real bank rules pack.
BR-REF-0024,M07-M08,FUTURE_1_1_REFERENCE,Уровень: rule_source; Назначение: Доказательство правила; Изменяется когда: обновилась страница/документ/письмо; Пример идентичности: официальный документ + page/section,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§2 Каноническая иерархия Bank → Program → Version → Rule,SRC-DOC-BR-F-00030,Standard/reference only; not a real bank rules pack.
BR-REF-0025,M07-M08,FUTURE_1_1_REFERENCE,Уровень: program_intake; Назначение: Фактическая доступность раунда/квоты/очереди; Изменяется когда: может меняться чаще условий программы; Пример идентичности: OPEN / QUEUE_ONLY / CLOSED,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§2 Каноническая иерархия Bank → Program → Version → Rule,SRC-DOC-BR-F-00031,Standard/reference only; not a real bank rules pack.
BR-REF-0026,M07-M08,FUTURE_1_1_REFERENCE,Уровень: source_check; Назначение: Результат очередной проверки источника и diff; Изменяется когда: каждый scheduled/manual recheck; Пример идентичности: UNCHANGED / CHANGED / UNAVAILABLE,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§2 Каноническая иерархия Bank → Program → Version → Rule,SRC-DOC-BR-F-00032,Standard/reference only; not a real bank rules pack.
BR-REF-0027,M07-M08,FUTURE_1_1_REFERENCE,"Почему program_intake отдельно
Клиент может полностью соответствовать правилам программы, но набор сейчас закрыт, идёт очередь или доступ только выбранным участникам. CASA должна различать «соответствует правилам» и «доступно сейчас».: Почему program_intake отдельно
Клиент может полностью соответствовать правилам программы, но набор сейчас закрыт, идёт очередь или доступ только выбранным участникам. CASA должна различать «соответствует правилам» и «доступно сейчас».",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§2 Каноническая иерархия Bank → Program → Version → Rule,SRC-DOC-BR-F-00033,Standard/reference only; not a real bank rules pack.
BR-REF-0028,M07-M08,FUTURE_1_1_REFERENCE,"Entity: bank; Required fields: id, legal_name, brand_name, website, status, verified_at; Ключевые статусы: active_issuer, programs_paused, not_issuing_mortgages, unverified, archived; Правило: Пользователь видит только published/verified reference data.",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§3.1 bank и mortgage_program,SRC-DOC-BR-F-00037,Standard/reference only; not a real bank rules pack.
BR-REF-0029,M07-M08,FUTURE_1_1_REFERENCE,"Entity: mortgage_program; Required fields: id, bank_id, official_name, program_type, status; Ключевые статусы: candidate, active, paused, closed, archived; Правило: ID стабилен; название может иметь aliases, но версия правил не хранится здесь.",05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§3.1 bank и mortgage_program,SRC-DOC-BR-F-00038,Standard/reference only; not a real bank rules pack.
BR-REF-0030,M07-M08,FUTURE_1_1_REFERENCE,Поле: id / mortgage_program_id / version; Смысл: точная идентичность версии; Обязательное правило: любая analysis ссылается на exact id,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§3.2 program_version,SRC-DOC-BR-F-00041,Standard/reference only; not a real bank rules pack.
BR-REF-0031,M07-M08,FUTURE_1_1_REFERENCE,Поле: effective_from / effective_to; Смысл: когда версия действует; Обязательное правило: effective_to nullable; пересечения published versions запрещены без explicit scope,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,§3.2 program_version,SRC-DOC-BR-F-00042,Standard/reference only; not a real bank rules pack.
