requirement_id,release,module_id,module_name,category,subsystem,requirement,expected_behavior,forbidden_behavior,input,output,state_or_status,source_document,source_version,source_section,source_extract_id,acceptance_test_ids,priority,criticality,implementation_layer,dependency,release_gate,open_question,developer_action,qa_evidence,notes
CORE-REQ-0001,1.0,CORE,CASA Pro Core,ERROR,§2 Правило источника истины,"Module Spec определяет поля, алгоритмы, ошибки, тестовые значения и технические инварианты внутри модуля.","Module Spec определяет поля, алгоритмы, ошибки, тестовые значения и технические инварианты внутри модуля.",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§2 Правило источника истины,SRC-DOC-000-00026,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0002,1.0,CORE,CASA Pro Core,CALCULATION,§3 Что такое CASA Pro сейчас,"ПРОСТОЕ ОБЪЯСНЕНИЕ  CASA Pro сейчас — платный рабочий инструмент ипотечного брокера и риелтора: он превращает вручную загруженные документы клиента в проверенные факты, расчёты, предварительное сопоставление с известными правилами банков, понятные причины, сценарии изменений и следующий шаг.: ПРОСТОЕ ОБЪЯСНЕНИЕ  CASA Pro сейчас — платный рабочий инструмент ипотечного брокера и риелтора: он превращает вручную загруженные документы клиента в проверенные факты, расчёты, предварительное сопоставление с известными правилами банков, понятные причины, сценарии изменений и следующий шаг.","ПРОСТОЕ ОБЪЯСНЕНИЕ  CASA Pro сейчас — платный рабочий инструмент ипотечного брокера и риелтора: он превращает вручную загруженные документы клиента в проверенные факты, расчёты, предварительное сопоставление с известными правилами банков, понятные причины, сценарии изменений и следующий шаг.: ПРОСТОЕ ОБЪЯСНЕНИЕ  CASA Pro сейчас — платный рабочий инструмент ипотечного брокера и риелтора: он превращает вручную загруженные документы клиента в проверенные факты, расчёты, предварительное сопоставление с известными правилами банков, понятные причины, сценарии изменений и следующий шаг.",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§3 Что такое CASA Pro сейчас,SRC-DOC-000-00030,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0003,1.0,CORE,CASA Pro Core,BUSINESS_RULE,§3 Что такое CASA Pro сейчас,"CASA Pro не является банком, кредитным бюро, официальным скорингом или системой гарантированного одобрения.","CASA Pro не является банком, кредитным бюро, официальным скорингом или системой гарантированного одобрения.",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§3 Что такое CASA Pro сейчас,SRC-DOC-000-00031,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0004,1.0,CORE,CASA Pro Core,BUSINESS_RULE,§4 Что входит в текущую стадию,"ВАЖНОЕ РАЗДЕЛЕНИЕ  Текущая продуктовая стадия — вся линейка 1.x. Она строится последовательно релизами 1.0, 1.1, 1.2, 1.3 и 1.5. Текущая очередь разработки начинается с версии 1.0; функции следующих релизов не смешиваются с ней в одном спринте.: ВАЖНОЕ РАЗДЕЛЕНИЕ  Текущая продуктовая стадия — вся линейка 1.x. Она строится последовательно релизами 1.0, 1.1, 1.2, 1.3 и 1.5. Текущая очередь разработки начинается с версии 1.0; функции следующих релизов не смешиваются с ней в одном спринте.","ВАЖНОЕ РАЗДЕЛЕНИЕ  Текущая продуктовая стадия — вся линейка 1.x. Она строится последовательно релизами 1.0, 1.1, 1.2, 1.3 и 1.5. Текущая очередь разработки начинается с версии 1.0; функции следующих релизов не смешиваются с ней в одном спринте.: ВАЖНОЕ РАЗДЕЛЕНИЕ  Текущая продуктовая стадия — вся линейка 1.x. Она строится последовательно релизами 1.0, 1.1, 1.2, 1.3 и 1.5. Текущая очередь разработки начинается с версии 1.0; функции следующих релизов не смешиваются с ней в одном спринте.",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§4 Что входит в текущую стадию,SRC-DOC-000-00034,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0005,1.0,CORE,CASA Pro Core,VALIDATION,§4 Что входит в текущую стадию,проверка по ИИН в разрешённых режимах и с честным статусом покрытия;,проверка по ИИН в разрешённых режимах и с честным статусом покрытия;,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§4 Что входит в текущую стадию,SRC-DOC-000-00036,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0006,1.0,CORE,CASA Pro Core,VALIDATION,§4 Что входит в текущую стадию,"проверка файла, полноты, подлинности/неопределённости и качества распознавания;","проверка файла, полноты, подлинности/неопределённости и качества распознавания;",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§4 Что входит в текущую стадию,SRC-DOC-000-00038,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0007,1.0,CORE,CASA Pro Core,VALIDATION,§4 Что входит в текущую стадию,"дата повторной проверки, устаревание документов и возврат старых клиентов в работу.","дата повторной проверки, устаревание документов и возврат старых клиентов в работу.",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§4 Что входит в текущую стадию,SRC-DOC-000-00045,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0008,1.0,CORE,CASA Pro Core,FUTURE_BOUNDARY,§5 Что НЕ входит в текущую стадию,"Не строим сейчас: Недвижимость; Граница: Застройщики, ЖК, квартиры, остатки, цены, подбор объектов, CASA Match","Не строим сейчас: Недвижимость; Граница: Застройщики, ЖК, квартиры, остатки, цены, подбор объектов, CASA Match",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§5 Что НЕ входит в текущую стадию,SRC-DOC-000-00048,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0009,1.0,CORE,CASA Pro Core,FUTURE_BOUNDARY,§5 Что НЕ входит в текущую стадию,"Не строим сейчас: Сделочный слой; Граница: Фиксации, брони, показы, комиссии, сделки и кабинеты застройщиков","Не строим сейчас: Сделочный слой; Граница: Фиксации, брони, показы, комиссии, сделки и кабинеты застройщиков",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§5 Что НЕ входит в текущую стадию,SRC-DOC-000-00049,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
CORE-REQ-0010,1.0,CORE,CASA Pro Core,FUTURE_BOUNDARY,§5 Что НЕ входит в текущую стадию,"Не строим сейчас: Большая CRM; Граница: Лиды, маркетинг, телефония, универсальная аналитика агентства и полный контроль продаж","Не строим сейчас: Большая CRM; Граница: Лиды, маркетинг, телефония, универсальная аналитика агентства и полный контроль продаж",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§5 Что НЕ входит в текущую стадию,SRC-DOC-000-00050,,,,MULTI_LAYER,,,,,,Canonical source-backed rule
