invariant_id,module_id,object_name,invariant,forbidden_behavior,source_documents,source_sections,source_extract_ids,acceptance_test_ids,developer_task_ids
INV-0001,CORE,case,"Действие и выход: проверяет файл, извлекает записи, строит цепочки долга, сверяет итоги и просит подтверждение → неизменяемый снимок текущего долга, истории, качества и неизвестностей",,00_CASA_Pro_MASTER_v1.2,§03 Кредитная история|§25 Глоссарий,SRC-DOC-000-00090|SRC-DOC-000-00347,,
INV-0002,CORE,client_profile_snapshot,"Действие и выход: добавляет только недостающие факты о цели, участниках, работе, доходах, активах и ПВ; фиксирует конфликты → неизменяемый client_profile_snapshot",,00_CASA_Pro_MASTER_v1.2,§05 Профиль клиента,SRC-DOC-000-00104,,
INV-0003,M01,audit_event,Объект: audit_event; Immutable: Append-only; Versioned change: Только новый correcting event/ref.; Historical rule: Нет hard rewrite; retention policy отдельно.,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§15 Versioning / immutability|§5 Модель case / participant / identity,SRC-DOC-M01-I-00189|SRC-DOC-M01-I-00064,,
INV-0004,M01,audit_event,Объект: audit_event; Immutable: Append-only; Versioned change: Только новый correcting event/ref.; Historical rule: Нет hard rewrite; retention policy отдельно.,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§15 Versioning / immutability,SRC-DOC-M01-I-00189,,
INV-0005,M01,case,"tenant/case/assignment/action guards, no-existence-leak и append-only audit проходят negative tests;",,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,Engineering DONE|§11 Consent evidence|§16 User flow|§7 Consent model|Входит в M01,SRC-DOC-M01-I-00323|SRC-DOC-M01-I-00141|SRC-DOC-M01-I-00201|SRC-DOC-M01-I-00087|SRC-DOC-M01-I-00043,,
INV-0006,M01,case,PII/log/export masking и immutable replay refs работают; human UI не показывает technical codes основным текстом;,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,Engineering DONE|§15 Versioning / immutability|§23 Current implementation → target|Входит в M01|Транзакционный порядок отзыва,SRC-DOC-M01-I-00325|SRC-DOC-M01-I-00188|SRC-DOC-M01-I-00315|SRC-DOC-M01-I-00040|SRC-DOC-M01-I-00122,AT-CC-005,M01-TASK-013
INV-0007,M01,case,"Actor: Пользователь другого tenant; Scope: Cross-tenant; Разрешено: Нет; Запрещено: Deny/404; ни masked data, ни existence leak; Test: IIN T-033; CH-079; CP-033; AT-CC-006","Actor: Пользователь другого tenant; Scope: Cross-tenant; Разрешено: Нет; Запрещено: Deny/404; ни masked data, ни existence leak; Test: IIN T-033; CH-079; CP-033; AT-CC-006",M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§12 Access control|§13 Audit,SRC-DOC-M01-I-00153|SRC-DOC-M01-I-00168,CH-079|CP-033|AT-CC-006,M03-TASK-020|M05-TASK-030|M01-TASK-017
INV-0008,M01,consent,API surface: POST /api/v2/consents/{consent_id}:revoke; Контракт: Append-only revoke event + policy evaluation.,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,Consent preflight,SRC-DOC-M01-I-00256,,
INV-0009,M01,consent,"Группа: Текст и цель; Минимальные поля: consent_text_version, content hash/reference, purpose grants, manifest/source scope если применимо; Инвариант: UI copy не заменяет immutable artifact.",,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§11 Consent evidence|§15 Versioning / immutability|§7 Consent model|§8 Purpose model,SRC-DOC-M01-I-00138|SRC-DOC-M01-I-00185|SRC-DOC-M01-I-00186|SRC-DOC-M01-I-00082|SRC-DOC-M01-I-00086|SRC-DOC-M01-I-00101,AT-CC-002,M01-TASK-006|M01-TASK-007|M01-TASK-008|M01-TASK-010|M01-TASK-012|M01-TASK-020
INV-0010,M01,consent,M01 НЕ DONE ДЛЯ ENGINEERING  Если ownership неоднозначен; consent другого participant используется; purpose отсутствует; revoke не блокирует; identity history мутирует; tenant isolation нарушена; credentials сохраняются; audit/PII controls не доказаны; spouse auto co-borrower; integration scope расширен.: M01 НЕ DONE ДЛЯ ENGINEERING  Если ownership неоднозначен; consent другого participant используется; purpose отсутствует; revoke не блокирует; identity history мутирует; tenant isolation нарушена; credentials сохраняются; audit/PII controls не доказаны; spouse auto co-borrower; integration scope расширен.,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,Engineering DONE|§5 Модель case / participant / identity,SRC-DOC-M01-I-00327|SRC-DOC-M01-I-00057,,
INV-0011,M01,identity_version,API surface: POST /api/v2/participants/{participant_id}/identity-versions; Контракт: New immutable version; old refs preserved.,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,Consent preflight|§15 Versioning / immutability|§16 User flow|§5 Модель case / participant / identity,SRC-DOC-M01-I-00253|SRC-DOC-M01-I-00184|SRC-DOC-M01-I-00197|SRC-DOC-M01-I-00061,,
INV-0012,M01,participant,"APPEND-ONLY  Audit events не редактируются задним числом. Человеческое описание не содержит полный ИИН, raw PDF text, contract IDs, passwords/OTP/ЭЦП/cookies, tokens или данные другого participant.: APPEND-ONLY  Audit events не редактируются задним числом. Человеческое описание не содержит полный ИИН, raw PDF text, contract IDs, passwords/OTP/ЭЦП/cookies, tokens или данные другого participant.",,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§13 Audit,SRC-DOC-M01-I-00169,,
INV-0013,M01,participant,Объект: participant role relation; Immutable: История неизменна; Versioned change: Новая revision с actor/reason/effective time.; Historical rule: Published snapshots сохраняют прежнюю роль.,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§15 Versioning / immutability,SRC-DOC-M01-I-00187,,
INV-0014,M02,client_check_batch,MUST создавать immutable history: refresh создаёт новый batch/result и `supersedes_id`.,MUST создавать immutable history: refresh создаёт новый batch/result и `supersedes_id`.,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21|M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,"§13.3 Обязательные MUST/MUST NOT|§7.2 Последовательность после нажатия|§8.5 API CASA|R0 считается DONE без production API calls, когда|§16 Security / privacy / audit|Входит в R0|Обязательный контракт client_check_result",SRC-DOC-M02-P-00555|SRC-DOC-M02-P-00327|SRC-DOC-M02-P-00393|SRC-DOC-M02-I-00296|SRC-DOC-M02-I-00220|SRC-DOC-M02-I-00037|SRC-DOC-M02-I-00130,,
