Test ID,Release,Module,Submodule / Area,Requirement,Why it matters,Source document,Source section / Test ID,Test type,Priority,Criticality,Fixture / Input,Expected result,Actual result,Status,Bug ID,Evidence,Checked by,Checked at,Developer comment,QA comment,Retest result,Retest date,Notes,Release Gate,Block reason
AT-CC-001,1.0,01 Client & Consent,Кейс и участник,Создание ипотечного кейса и основного участника,"Все документы, согласия и снимки должны принадлежать конкретному человеку и делу.",00_CASA_Pro_MASTER_v1.2.docx,§6 шаг 1; §7 модуль 01,FUNCTIONAL,P0,CRITICAL,Новый клиент без существующего кейса,Созданы уникальные case_id и participant_id; участник привязан к tenant; исходные данные не смешиваются с другими делами.,,NOT_TESTED,,,,,,,,,,RG1;RG11,
AT-CC-002,1.0,01 Client & Consent,Согласие,"Согласие привязано к участнику, цели и версии текста",Общее согласие без цели не даёт права на все проверки.,00_CASA_Pro_MASTER_v1.2.docx; 1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx; 2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,"MASTER §6/§7; IIN §3.1, T-003–T-004; CH §6.1, CH-002",SECURITY,P0,CRITICAL,Участник + версия согласия,"Хранятся participant_id, purpose, consent_text_version, granted_at, status и evidence/reference; разрешены только заявленные цели.",,NOT_TESTED,,,,,,,,,,RG1,
AT-CC-003,1.0,01 Client & Consent,Согласие,Согласие одного участника не распространяется на другого,Созаёмщик и супруг являются отдельными субъектами данных.,00_CASA_Pro_MASTER_v1.2.docx; 1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx; 04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21(2).docx,"MASTER §7 модуль 01/§13; IIN T-007; CP §5, CP-004",NEGATIVE,P0,CRITICAL,Основной заёмщик + созаёмщик,Для каждого участника отдельный consent status и scope; без согласия второго его проверки и документы не обрабатываются.,,NOT_TESTED,,,,,,,,,,RG1;RG6,
AT-CC-004,1.0,01 Client & Consent,Согласие,Отсутствующее согласие блокирует проверку и обработку,Система не должна выполнять обработку без действующего основания.,1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx; 2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx; 03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,IIN T-003; CH-002; Pension §13.1 publish gate,NEGATIVE,P0,CRITICAL,Consent отсутствует/истёк,"Внешние вызовы, upload processing и создание нового snapshot не выполняются; пользователю показано понятное требование согласия.",,NOT_TESTED,,,,,,,,,,RG1;RG2,
AT-CC-005,1.0,01 Client & Consent,Согласие,Отзыв согласия блокирует новые действия и не переписывает историю,"Отзыв должен прекращать новую обработку, сохраняя контролируемую историю по утверждённой policy.",1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx; 2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,"IIN T-037; CH-003, CH-087",SECURITY,P0,CRITICAL,Consent отозван во время обработки,"Новые проверки, refresh и snapshots заблокированы; существующие данные ограничены по retention policy; событие аудируется.",,NOT_TESTED,,,,,,,,,,RG1,
AT-CC-006,1.0,01 Client & Consent,Права доступа,"Доступ ограничен tenant, кейсом, ролью и назначением",Нельзя раскрывать факт существования чужого клиента или документа.,1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx; 2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx; 04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21(2).docx,IIN T-033; CH-079–CH-081; CP-033,SECURITY,P0,CRITICAL,Пользователь другого tenant / неназначенный сотрудник,Доступ запрещён без утечки существования объекта; отказ записан в audit.,,NOT_TESTED,,,,,,,,,,RG1;RG12,
AT-CC-007,1.0,01 Client & Consent,Граница scope,Согласие на анализ не включает прямое получение КИ/пенсионных и будущие интеграции,Текущий релиз использует ручную загрузку PDF.,00_CASA_Pro_MASTER_v1.2.docx,§5; §11; §22; конфликт C-05,NEGATIVE,P0,CRITICAL,Действующее согласие текущей версии,Интерфейс и backend не запускают direct bureau/ENPF API и не запрашивают credentials клиента.,,NOT_TESTED,,,,,,,,,,RG1;RG2,
AT-CC-008,1.0,01 Client & Consent,Версионность личности,Исправление ИИН создаёт новую identity version,Старые результаты нельзя незаметно перепривязать к другому субъекту.,1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx,§7.1; T-008,AUDIT,P1,HIGH,ИИН исправлен после ранее созданной проверки,Старый batch остаётся immutable у старой identity_version; новый запуск использует новую версию личности.,,NOT_TESTED,,,,,,,,,,RG1;RG5,
AT-CC-009,1.0,01 Client & Consent,Аудит,Критические действия фиксируются в неизменяемом журнале,Приёмка и расследование ошибок требуют доказуемой истории действий.,00_CASA_Pro_MASTER_v1.2.docx; 2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx; 04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21(2).docx,MASTER §7 модуль 01/§8; CH §17.1; CP §16 события,AUDIT,P0,CRITICAL,"Создание, просмотр, upload, correction, revoke","Audit содержит actor, action, object, timestamp, before/after reference и причину; записи не редактируются задним числом.",,NOT_TESTED,,,,,,,,,,RG1;RG11,
AT-CC-010,1.0,01 Client & Consent,Средства доступа,"CASA не принимает пароль, OTP, ЭЦП или cookie клиента",Это запрещённый канал доступа и высокий риск утечки.,00_CASA_Pro_MASTER_v1.2.docx; 1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx; 2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx; 03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,MASTER §5/§22; IIN §6; CH §1.2; Pension §1.2,SECURITY,P0,CRITICAL,Попытка ввести credentials,Нет полей/endpoint для credentials; значение не сохраняется и не попадает в логи; пользователь получает безопасное объяснение.,,NOT_TESTED,,,,,,,,,,RG1;RG5,
AT-CC-011,1.0,01 Client & Consent,Минимизация PII,Полный ИИН и чувствительные идентификаторы отсутствуют в логах и клиентских выгрузках,Логи и отчёты не должны становиться каналом утечки.,1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx; 2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,"IIN §13.3, T-032/T-044; CH §17.1, CH-083",SECURITY,P0,CRITICAL,"Application logs, error traces, export","Полный ИИН, contract IDs, raw PDF text и secrets отсутствуют; UI использует маскирование.",,NOT_TESTED,,,,,,,,,,RG1;RG9;RG12,
AT-CC-012,1.0,01 Client & Consent,Версионность,Опубликованные снимки неизменяемы и воспроизводимы,Результат должен воспроизводиться по exact input/version IDs.,00_CASA_Pro_MASTER_v1.2.docx,§8; §20 ворота 1.0,AUDIT,P0,CRITICAL,Опубликованный snapshot + изменение входа,Изменение создаёт новую версию; старый snapshot и его hash остаются доступными только для чтения и воспроизводят прежний payload.,,NOT_TESTED,,,,,,,,,,RG11,
AT-CC-013,1.0,01 Client & Consent,Согласие,Утверждён точный текст и жизненный цикл согласия для релиза 1.0,Без утверждённой версии невозможно доказать законность production processing.,00_CASA_Pro_MASTER_v1.2.docx; 2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx; 04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21(2).docx,MASTER §7 модуль 01; CH OQ-01/OQ-03; CP RG-CP-02,SECURITY,P0,CRITICAL,Approved consent artifact,"Есть утверждённый текст, версия, цели, срок, способ подтверждения, отзыв и retention impact; артефакт связан с реализацией.",,NOT_TESTED,,,,,,,,,,RG1,
AT-CC-014,1.0,01 Client & Consent,Участники,Супруг и созаёмщик хранятся как разные роли,Семейная связь не означает участие в анализе или объединение доходов.,00_CASA_Pro_MASTER_v1.2.docx; 04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21(2).docx,"MASTER §13; CP §5, CP-003–CP-005",DATA,P1,HIGH,Супруг без роли созаёмщика,role=SPOUSE; included_in_analysis=false до явного выбора; созаёмщик создаётся отдельным participant с отдельным consent.,,NOT_TESTED,,,,,,,,,,RG1;RG6,
AT-IIN-001,1.0,02 IIN Check R0,Реестр источников,Существует версионный реестр источников ИИН-check,"R0 должен честно знать, что можно проверять, каким режимом и почему.",00_CASA_Pro_MASTER_v1.2.docx; 1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx,MASTER §12; IIN §8.1/§13.4 R0,DATA,P0,CRITICAL,Пустой новый tenant + source registry,"Для каждого source есть code, owner, official URL, mode, legal/access status, allowlist, freshness policy, fallback и version.",,NOT_TESTED,,,,,,,,,,RG5,
AT-IIN-002,1.0,02 IIN Check R0,Режим источника,"Automatic, manual, client-authorized и unavailable различаются",Разные каналы нельзя сводить к одному зелёному статусу.,00_CASA_Pro_MASTER_v1.2.docx; 1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx,MASTER §12; IIN §3.2/§8.3,DATA,P0,CRITICAL,Реестр с четырьмя режимами,Каждый режим хранится отдельным enum и отображается отдельным понятным состоянием; PROHIBITED не запускается.,,NOT_TESTED,,,,,,,,,,RG5;RG9,
AT-IIN-003,1.0,02 IIN Check R0,Граница R0,R0 работает без внешних production API,Версия 1.0 не зависит от неутверждённых интеграций.,00_CASA_Pro_MASTER_v1.2.docx; 1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx,MASTER §12/§20; IIN §13.4 R0,INTEGRATION,P0,CRITICAL,Среда без API tokens/legal approvals,"Модель данных, coverage, UI, manual tasks, evidence и audit работают; ни одного внешнего production-вызова нет.",,NOT_TESTED,,,,,,,,,,RG5,
AT-IIN-004,1.0,02 IIN Check R0,Access gate,Источник без договора/token/legal sign-off остаётся выключенным,Техническая доступность не заменяет разрешение.,1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx,§1; §3.1; §13.3,SECURITY,P0,CRITICAL,legal approval/token/terms отсутствуют,Connector disabled; source state = legal/access blocked с точной причиной; это не FAIL клиента и не not_found.,,NOT_TESTED,,,,,,,,,,RG5,
AT-IIN-005,1.0,02 IIN Check R0,Ручная проверка,Ручная задача ведёт на официальный источник и требует evidence,Результат человека должен быть воспроизводимым.,1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx,§7.2/§7.3; T-013–T-014,FUNCTIONAL,P0,CRITICAL,ЕНИС/manual task,"Есть official URL без ИИН в query, инструкция, assignee, checked_at, observed outcome, evidence/reference и actor; без evidence подтверждение отклоняется.",,NOT_TESTED,,,,,,,,,,RG5;RG7,
AT-IIN-006,1.0,02 IIN Check R0,Недоступность,Недоступный источник не превращается в «записей нет»,Иначе система создаёт ложный чистый результат.,00_CASA_Pro_MASTER_v1.2.docx; 1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx,"MASTER §12; IIN §7.4, T-010/T-015/T-016/T-023/T-043",NEGATIVE,P0,CRITICAL,Timeout/403/schema error одного обязательного source,SOURCE_UNAVAILABLE/ACCESS_REQUIRED/ERROR; batch PARTIAL; общий negative result запрещён.,,NOT_TESTED,,,,,,,,,,RG5;RG8,
AT-IIN-007,1.0,02 IIN Check R0,Покрытие,Частичная проверка не отображается как «чисто»,CEO и брокер должны видеть фактическое покрытие.,00_CASA_Pro_MASTER_v1.2.docx; 1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21(2).docx,"MASTER §12; IIN §7.4, T-023/T-048",UX,P0,CRITICAL,3 из 7 источников завершены,Показано «Проверка частичная: 3 из 7» и незавершённые sources; нет общего зелёного результата.,,NOT_TESTED,,,,,,,,,,RG5;RG9,
