module_id,code,type,internal_meaning,broker_text_ru,condition,allowed_action,blocked_action,downstream_effect,source_document,source_section
M01,NOT_REQUESTED / CONSENT_REQUIRED,STATE,Требуется согласие,Все protected actions blocked,Требуется согласие,Для этого действия нужно действующее согласие клиента.,Запросить согласие,Все protected actions blocked,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§18 Statuses / human messages
M01,PENDING (demo/current UI),STATE,Ожидается ответ,Открыть детали / отменить по policy,Ожидается ответ,Запрос отправлен. Ожидаем ответ клиента.,Открыть детали / отменить по policy,Processing blocked,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§18 Statuses / human messages
M01,ACTIVE,STATE,Согласие действует,Только matching purpose allowed,Согласие действует,Согласие подтверждено для перечисленных действий.,Открыть scope / отозвать,Только matching purpose allowed,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§18 Statuses / human messages
M01,EXPIRED,STATE,Срок завершён,Запросить новое,Срок завершён,Срок действия согласия завершён. Нужно новое согласие.,Запросить новое,New actions blocked,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§18 Statuses / human messages
M01,REVOKED,STATE,Отозвано,Открыть историю,Отозвано,Согласие отозвано. Новые действия остановлены.,Открыть историю,New actions/refresh/snapshot blocked,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§18 Statuses / human messages
M01,SUPERSEDED,STATE,Нужна новая версия,Запросить новую версию,Нужна новая версия,Требуется согласие на новую версию текста или целей.,Запросить новую версию,Old grant cannot expand,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§18 Statuses / human messages
M01,PURPOSE_MISMATCH,STATE,Не подходит к действию,Запросить нужный scope,Не подходит к действию,Это согласие не разрешает выбранное действие.,Запросить нужный scope,Exact action denied,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§18 Statuses / human messages
M01,IDENTITY_VERSION_MISMATCH,STATE,Изменились данные личности,Запросить новое,Изменились данные личности,После изменения идентификатора требуется актуальное согласие.,Запросить новое,Old identity grant not reused,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§18 Statuses / human messages
M01,EVIDENCE_INVALID,STATE,Не подтверждено,Повторить approved flow / review,Не подтверждено,Подтверждение согласия не доказано.,Повторить approved flow / review,No ACTIVE status,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§18 Statuses / human messages
M01,ACCESS_DENIED,STATE,Доступ запрещён,Вернуться / обратиться к администратору,Доступ запрещён,У вас нет доступа к этому клиенту или действию.,Вернуться / обратиться к администратору,No existence details,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§18 Statuses / human messages
