extract_id,document_id,module_id,source_document,source_version,source_section,source_type,source_order,raw_text,table_name,row_or_item,notes
SRC-DOC-000-00001,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,Document front matter,PARAGRAPH,,CASA PRO,,paragraph:0,style=Normal
SRC-DOC-000-00002,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,Document front matter,PARAGRAPH,1,00_CASA_Pro_MASTER_v1.2,,paragraph:1,style=Normal
SRC-DOC-000-00003,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,Document front matter,PARAGRAPH,2,Единый источник истины по текущей разработке ипотечного ядра CASA Pro,,paragraph:2,style=Normal
SRC-DOC-000-00004,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,Document front matter,TABLE_ROW,3.0,"[""УПРАВЛЕНЧЕСКОЕ РЕШЕНИЕ  Концепция утверждена. Этот документ переводит её в единые границы, последовательность разработки, правила данных, приёмку и ответственность источников требований.""]",Document front matter,table:1:row:0,"headers=[""УПРАВЛЕНЧЕСКОЕ РЕШЕНИЕ  Концепция утверждена. Этот документ переводит её в единые границы, последовательность разработки, правила данных, приёмку и ответственность источников требований.""]"
SRC-DOC-000-00005,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,Document front matter,TABLE_HEADER,6.0,"[""Параметр"",""Значение""]",Document front matter,table:2:row:0,"headers=[""Параметр"",""Значение""]"
SRC-DOC-000-00006,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,Document front matter,TABLE_ROW,6.1,"[""Версия"",""1.2""]",Document front matter,table:2:row:1,"headers=[""Параметр"",""Значение""]"
SRC-DOC-000-00007,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,Document front matter,TABLE_ROW,6.2,"[""Дата"",""22 августа 2026 года""]",Document front matter,table:2:row:2,"headers=[""Параметр"",""Значение""]"
SRC-DOC-000-00008,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,Document front matter,TABLE_ROW,6.3,"[""Владелец"",""Алибек, CEO CASA Pro""]",Document front matter,table:2:row:3,"headers=[""Параметр"",""Значение""]"
SRC-DOC-000-00009,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,Document front matter,TABLE_ROW,6.4,"[""Статус"",""FROZEN BASELINE — изменяется только при решении CEO о scope или изменении контракта модулей.""]",Document front matter,table:2:row:4,"headers=[""Параметр"",""Значение""]"
SRC-DOC-000-00010,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,Document front matter,TABLE_ROW,6.5,"[""Область"",""Ипотечное ядро CASA Pro, стадия 1.x""]",Document front matter,table:2:row:5,"headers=[""Параметр"",""Значение""]"
SRC-DOC-000-00011,DOC-000,CORE,00_CASA_Pro_MASTER_v1.2,1.2,Document front matter,TABLE_ROW,6.6,"[""Главное ограничение"",""Без недвижимости, без прямого получения КИ/пенсионных, без неутверждённых интеграций""]",Document front matter,table:2:row:6,"headers=[""Параметр"",""Значение""]"
