task_id,module_id,order_no,task,backend,frontend,data,parser,qa,security,product_or_legal_dependency,priority,source_document,source_section,acceptance_test,release_gate,definition_of_done,status,developer_comment
M01-TASK-001,M01,1,Зафиксировать M01 boundary и feature gates,Middleware/service boundary; production consent channels disabled by default,Показать honest blocked/demo states,Action/purpose registry flags,,No unauthorized side effects,,AT-CC-013 artifact,P0,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-007/013,,No Client Profile/Calculation/direct API fields or calls,TODO,
M01-TASK-002,M01,2,Создать case ownership model,Idempotent case create/read; tenant ownership,Case reference/status,case_id/tenant/assignment refs,,Unique/cross-case tests,,Нет,P0,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-001,,Unique case_id; no data mixing,TODO,
M01-TASK-003,M01,3,Создать participant model,CRUD/add with object authorization,Participant list,participant_id/case/role/status,,Multiple participant isolation,,Approved role registry,P0,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-001/003/014,,Each participant owns identity/consent/docs/snapshots,TODO,
M01-TASK-004,M01,4,Разделить spouse и co-borrower,Separate relation/role; included flag,Distinct labels and CTA,ordinal/relationship revision,,CP-003…005,,CP role enum gate,P0,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-003/014,,Spouse false until explicit inclusion; separate consent,TODO,
M01-TASK-005,M01,5,Реализовать versioned identity,Create new version; never update critical ID in place,Masked ID + version/change flow,identity_version/supersedes/audit refs,,IIN T-008/replay,,Security storage architecture,P0,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-008/011/012,,Old results remain on old identity,TODO,
M01-TASK-006,M01,6,Создать consent text artifact registry,Immutable version/hash/status/approval refs,"Display version, not editable legal text",text version/hash/effective approval,,Unknown/unapproved version denied,,Product/Legal exact RU/KZ artifact,P0,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-002/013,,No ACTIVE production grant without approved artifact,TODO,
M01-TASK-007,M01,7,Создать purpose registry,Exact approved codes; deny unknown; action mapping,Readable grouped scope,Purpose version/module/action allowlist,,Purpose mismatch negatives,,Pension/CP purpose approvals,P0,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-002/004/007/013,RG-CP-02,Only sourced codes active; OPEN codes disabled,TODO,
M01-TASK-008,M01,8,Создать consent/evidence data model,Participant/identity/text/purpose/status/evidence refs,Consent card details,Immutable grant/evidence/status events,,Evidence absent/invalid,,Approved method/evidence policy,P0,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-002/003/009/013,,Consent is not boolean; evidence required,TODO,
M01-TASK-009,M01,9,Реализовать lifecycle state machine,Validated transitions; concurrency/idempotency,Human status/CTA,Append-only status history,,Invalid transition matrix,,Lifecycle/term approval,P0,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-004/005/013,,Expired/revoked/superseded deny new actions,TODO,
M01-TASK-010,M01,10,Создать consent request service,Exact participant/identity/text/purposes; idempotency,Request/pending UI,Request/channel refs,,Double click/wrong participant,,Approved channel,P0,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-002/003/009,,One request; no accidental SMS claim,TODO,
M01-TASK-011,M01,11,Создать confirmation adapter interface,Internal-only evidence validator; adapters disabled until approved,No broker impersonation,method/version/validator refs,,Unauthorized confirmation test,,AT-CC-013 / OD-001,P0,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-009/010/013,,Demo fixture isolated; production method approved,TODO,
M01-TASK-012,M01,12,Реализовать consent preflight API,Check tenant/case/participant/identity/purpose/text/status/evidence,Human blocker from deny reason,Decision/audit refs,,All mismatch combinations,,Нет,P0,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-002…008,,Protected action has no side effect on deny,TODO,
M01-TASK-013,M01,13,Реализовать revoke/supersede,Append-only event; cache invalidation; policy evaluation,Revoke/history/new version CTA,revoked/supersedes/policy refs,,IIN T-037; CH-003/087,,Retention matrix,P0,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-005/009/013,,New actions blocked; old history unchanged,TODO,
M01-TASK-014,M01,14,Поставить guards перед M02/M03/M04/M05 actions,Central middleware + action-specific purpose mapping,Disabled CTA + explanation,Action registry,,Network/parser/snapshot spy=0,,Purpose approvals,P0,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,AT-CC-004/007,,No check/upload/parse/refresh/publish before allow,TODO,
M01-TASK-015,M01,15,Сохранить manual PDF boundary,No bureau/ENPF connectors; upload grants only,Explain manual upload,No future API scopes,,Outbound call tests,,Нет,MASTER §5/§11,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§26 Конкретный список работ Даулету,0 direct bureau/ENPF calls,,,TODO,
