fixture_id,formula_id,inputs,input_statuses,expected_raw,expected_persisted,expected_display,expected_status,expected_blocker,source_document,source_section
FX-FIN-001,CALC-F-001,P=30000000.00 KZT CONFIRMED; A=5000000.00 CONFIRMED,P=30000000.00 KZT CONFIRMED; A=5000000.00 CONFIRMED,25000000,25000000.00,25 000 000 ₸,COMPLETED,—,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§28 Fixtures — CALC-F-001
FX-FIN-002,CALC-F-001,P=30000000.00; A=0.00,P=30000000.00; A=0.00,30000000,30000000.00,30 000 000 ₸,COMPLETED,—,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§28 Fixtures — CALC-F-001
FX-FIN-003,CALC-F-001,P=30000000.00; A=30000000.00,P=30000000.00; A=30000000.00,0,0.00,0 ₸,COMPLETED,DOWN_PAYMENT_COVERS_TARGET,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§28 Fixtures — CALC-F-001
FX-FIN-004,CALC-F-001,P=30000000.00; A=35000000.00,P=30000000.00; A=35000000.00,0,0.00,0 ₸,COMPLETED,DOWN_PAYMENT_COVERS_TARGET,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§28 Fixtures — CALC-F-001
FX-FIN-005,CALC-F-001,P=MISSING; A=5000000.00,P=MISSING; A=5000000.00,null,null,—,BLOCKED,MISSING_INPUT:P,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§28 Fixtures — CALC-F-001
FX-FIN-006,CALC-F-001,P=30000000.00; A=UNKNOWN,P=30000000.00; A=UNKNOWN,null,null,—,BLOCKED,UNKNOWN_INPUT:A,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§28 Fixtures — CALC-F-001
FX-FIN-007,CALC-F-001,P=-1.00; A=0.00,P=-1.00; A=0.00,null,null,—,INVALID_INPUT,NEGATIVE_AMOUNT:P,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§28 Fixtures — CALC-F-001
FX-FIN-008,CALC-F-001,P=STALE; A=CONFLICT,P=STALE; A=CONFLICT,null,null,—,BLOCKED,STALE_INPUT:P; CONFLICTING_INPUT:A,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§28 Fixtures — CALC-F-001
FX-FIN-009,CALC-F-001,P=30000000.00 DECLARED; A=5000000.00 EVIDENCE_REQUESTED,P=30000000.00 DECLARED; A=5000000.00 EVIDENCE_REQUESTED,25000000,25000000.00,25 000 000 ₸,COMPLETED_WITH_LIMITATIONS,UNVERIFIED_INPUTS,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§28 Fixtures — CALC-F-001
FX-ANN-001,CALC-F-002,P=25000000.00 KZT; a=12.5000%; n=240,P=25000000.00 KZT; a=12.5000%; n=240,284035.13742859237380498879610315991992807755394768,284035.14,284035 ₸,COMPLETED,—,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,Fixtures — CALC-F-002
FX-ANN-002,CALC-F-002,P=0.00; a=12.5000%; n=240,P=0.00; a=12.5000%; n=240,0,0.00,0 ₸,COMPLETED,—,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,Fixtures — CALC-F-002
FX-ANN-003,CALC-F-002,P=12000000.00; a=0.0000%; n=12,P=12000000.00; a=0.0000%; n=12,1000000,1000000.00,1 000 000 ₸,COMPLETED,ZERO_RATE_BRANCH,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,Fixtures — CALC-F-002
FX-ANN-004,CALC-F-002,P=1000000.00; a=12.0000%; n=1,P=1000000.00; a=12.0000%; n=1,1010000.00,1010000.00,1 010 000 ₸,COMPLETED,—,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,Fixtures — CALC-F-002
FX-ANN-005,CALC-F-002,P=1000000.00; a=12%; n=0,P=1000000.00; a=12%; n=0,null,null,—,INVALID_INPUT,INVALID_TERM,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,Fixtures — CALC-F-002
FX-ANN-006,CALC-F-002,P=1000000.00; a=-0.0001%; n=12,P=1000000.00; a=-0.0001%; n=12,null,null,—,INVALID_INPUT,INVALID_RATE,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,Fixtures — CALC-F-002
FX-ANN-007,CALC-F-002,P=1000000.00; a=MISSING; n=12,P=1000000.00; a=MISSING; n=12,null,null,—,BLOCKED,MISSING_INPUT:a,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,Fixtures — CALC-F-002
FX-ANN-008,CALC-F-002,P=UNKNOWN; a=12%; n=12,P=UNKNOWN; a=12%; n=12,null,null,—,BLOCKED,UNKNOWN_INPUT:P,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,Fixtures — CALC-F-002
FX-ANN-009,CALC-F-002,P output=STALE/CONFLICT,P output=STALE/CONFLICT,null,null,—,BLOCKED,blocking source refs,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,Fixtures — CALC-F-002
FX-CALC-GOLDEN-001,CALC-F-001|CALC-F-002,target_price_max=30000000.00 KZT; available_now_total=5000000.00 KZT; annual_nominal_rate_percent=12.5000; term_months=240; input_hash=cb88c168e277aeae3d28d91f46643999fad2f6284b9a31c555f3e3665953fb47; output_hash=c1674aea4b8d1bc8bbc9fc8d1ecb76db85ee28f833be1971b81f19d2db642e60; replay_hash=a7be2c777298f1d563e3f794fbe2f0b13b59549dda3f2dafc0deaee321693737; decimal_context_version=casa.decimal_context/p50-half-even__money-half-up/1.0.0,CONFIRMED,required_financing=25000000; annuity=284035.13742859237380498879610315991992807755394768,required_financing=25000000.00 KZT; annuity=284035.14 KZT,required_financing=25 000 000 ₸; annuity=284035 ₸,COMPLETED,,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§29 Golden fixture FX-CALC-GOLDEN-001; Replay hash methodology CASA-CJ-1
