metric,V1,V2,V3,V3.1,reason_for_change,warnings,conversion_status
raw extracts,0,6816,6816,6816,V2 lossless layer preserved byte-for-byte.,NONE,PASS
requirement candidates,2931,2739,2739,2739,V2 normalized rows retained as a non-authoritative candidate layer.,NONE,PASS
canonical requirements,2931,2739,2449,2439,V3.1 removes only non-actionable CORE description/conflict-history rows; source coverage remains lossless.,NONE,PASS
acceptance,171,171,171,171,Exact V2/XLSX test oracle preserved.,NONE,PASS
developer tasks,157,157,157,157,Exact 157-row execution matrices preserved.,NONE,PASS
open gates,52,63,63,63,Same canonical gates; RG-CP-01 semantics corrected from exact source rows.,NONE,PASS
data contracts,175,295,282,282,Duplicate fields merged; pseudo group labels removed and expanded into source-backed field paths.,NONE,PASS
API contracts,13,45,45,45,Same API surface; source_path separated from canonical_path and DEC-API-001 applied.,NONE,PASS
object invariants,0,0,40,40,Object-level rules separated from field contracts.,NONE,PASS
conflicts open,0,1,0,0,CONFLICT-001 resolved by owner decision DEC-API-001.,NONE,PASS
conflicts resolved,0,0,1,1,Historical conflict retained with canonical value and decision reference.,NONE,PASS
governance decisions,0,0,3,3,Owner decisions represented separately from source text/status.,NONE,PASS
semantic duplicates merged,0,7,90,90,Production/Implementation repetitions collapsed into one canonical row with multiple source references.,NONE,PASS
release_mapping_rows_corrected,0,0,0,21,MASTER v1.2 §20 release mapping corrected; product scope unchanged.,NONE,PASS
canonical_requirements_removed_as_non_actionable_governance_history,0,0,0,10,"Narrative/history retained in candidates and lossless extracts, not authoritative requirements.",NONE,PASS
canonical_requirements_final,2931,2739,2449,2439,Final authoritative requirement count after targeted V3.1 correction.,NONE,PASS
