gate_id,module_id,question,owner,blocks_engineering,blocks_production,blocks_release,temporary_safe_behavior,source_documents,source_sections,related_gate_ids,status,notes
J-01,M01|M02,"Кто controller/processor/third party: CASA, агентство, риелтор, vendors; DPA и ответственность?",Legal/DPO,Нет: schema/guards на synthetic data,Да: real client processing,,Production adapters/actions disabled; no role assumption.,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1|M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§27 Open questions / legal gates|§25 Open questions,M03-OQ-02|,OPEN,"ID/source: IIN J-01 + CH OQ-02; Question: Кто controller/processor/third party: CASA, агентство, риелтор, vendors; DPA и ответственность?; Owner: Legal/DPO; Blocks engineering?: Нет: schema/guards на synthetic data; Blocks production?: Да: real client processing; Temporary safe behaviour: Production adapters/actions disabled; no role assumption."
J-02,M01|M02,"Точный RU/KZ текст, purposes, categories/recipients, identity assurance, term/lifecycle, re-consent?",Product/Legal/DPO,Нет: artifact registry/hooks,Да: любой ACTIVE production consent,,Only synthetic test artifact; production preflight deny.,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1|M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§27 Open questions / legal gates|§25 Open questions,M03-OQ-01|AT-CC-013|,OPEN,"ID/source: IIN J-02 + CH OQ-01 + AT-CC-013; Question: Точный RU/KZ текст, purposes, categories/recipients, identity assurance, term/lifecycle, re-consent?; Owner: Product/Legal/DPO; Blocks engineering?: Нет: artifact registry/hooks; Blocks production?: Да: любой ACTIVE production consent; Temporary safe behaviour: Only synthetic test artifact; production preflight deny."
J-04,M01|M02,Какой confirmation method юридически/продуктово достаточен: ссылка/SMS/transactional service/иное?,Product/Legal/Security,Нет: disabled adapter interface,Да: production confirmation,,No SMS/OTP claim or send; demo controls isolated.,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1|M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§27 Open questions / legal gates|§25 Open questions,OD-001|,OPEN,ID/source: IIN J-04 + demo OD-001; Question: Какой confirmation method юридически/продуктово достаточен: ссылка/SMS/transactional service/иное?; Owner: Product/Legal/Security; Blocks engineering?: Нет: disabled adapter interface; Blocks production?: Да: production confirmation; Temporary safe behaviour: No SMS/OTP claim or send; demo controls isolated.
J-08,M01|M02,"Retention/deletion/restriction/legal hold для consent, PDF, evidence, snapshots и audit после revoke/closure?",Legal/Security/DPO,Нет: versioned policy refs/evaluator,Да: real retention/deletion,,No hard-coded term; restrict new processing; production data blocked.,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1|M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§27 Open questions / legal gates|§25 Open questions,M03-OQ-03|,OPEN,"ID/source: IIN J-08 + CH OQ-03; Question: Retention/deletion/restriction/legal hold для consent, PDF, evidence, snapshots и audit после revoke/closure?; Owner: Legal/Security/DPO; Blocks engineering?: Нет: versioned policy refs/evaluator; Blocks production?: Да: real retention/deletion; Temporary safe behaviour: No hard-coded term; restrict new processing; production data blocked."
RG-CP-02,M01|M05,Purpose/consent для manual financial data и связанных участников?,Product/Legal,Нет: disabled purpose slots,Да: M05 production collection,,M01 does not collect profile finance; scope disabled.,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1|M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§27 Open questions / legal gates|§33 Open questions,,OPEN,ID/source: CP RG-CP-02; Question: Purpose/consent для manual financial data и связанных участников?; Owner: Product/Legal; Blocks engineering?: Нет: disabled purpose slots; Blocks production?: Да: M05 production collection; Temporary safe behaviour: M01 does not collect profile finance; scope disabled.
M04-RG-03,M01|M04,"Purposes, access/export/retention/deletion matrix для pension data?",Legal/Product,Нет: manual PDF gate contract,Да: real pension processing,,Exact pension purpose codes remain OPEN/DISABLED.,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1|03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§27 Open questions / legal gates|§15 Release gates и открытые вопросы,RG-03|,OPEN,"ID/source: Pension RG-03; Question: Purposes, access/export/retention/deletion matrix для pension data?; Owner: Legal/Product; Blocks engineering?: Нет: manual PDF gate contract; Blocks production?: Да: real pension processing; Temporary safe behaviour: Exact pension purpose codes remain OPEN/DISABLED."
J-09,M01|M02,Какие third-party fields/evidence crops можно показывать/хранить/export?,Legal/Security/Product,Нет: allowlist/redaction hooks,Да: real evidence/UI/export,,Mask/drop by default; no raw evidence export.,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1|M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§27 Open questions / legal gates|§25 Open questions,M03-OQ-16|M03-OQ-17|,OPEN,ID/source: IIN J-09 + CH OQ-16/OQ-17; Question: Какие third-party fields/evidence crops можно показывать/хранить/export?; Owner: Legal/Security/Product; Blocks engineering?: Нет: allowlist/redaction hooks; Blocks production?: Да: real evidence/UI/export; Temporary safe behaviour: Mask/drop by default; no raw evidence export.
J-07,M01|M02,"KZ residency, OCR/subprocessors, incident/breach/access review controls?",Security/Legal,Нет: interfaces/tests,Да: production deployment,,Synthetic/local tests only; no unapproved subprocessor.,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1|M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§27 Open questions / legal gates|§25 Open questions,J-12|M03-OQ-18|,OPEN,"ID/source: IIN J-07/J-12 + CH OQ-18; Question: KZ residency, OCR/subprocessors, incident/breach/access review controls?; Owner: Security/Legal; Blocks engineering?: Нет: interfaces/tests; Blocks production?: Да: production deployment; Temporary safe behaviour: Synthetic/local tests only; no unapproved subprocessor."
J-11,M01|M02,Полномочие риелтора выполнять manual official search/eGov third-party path по consent клиента?,Legal/Operations,Нет: manual task model,Да: real manual operation,,Do not launch real path; show legal blocker.,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1|M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§27 Open questions / legal gates|§25 Open questions,,OPEN,ID/source: IIN J-11; Question: Полномочие риелтора выполнять manual official search/eGov third-party path по consent клиента?; Owner: Legal/Operations; Blocks engineering?: Нет: manual task model; Blocks production?: Да: real manual operation; Temporary safe behaviour: Do not launch real path; show legal blocker.
M03-OQ-05,M01|M03,"Нужен ли договор с бюро для manual PDF, который клиент сам передал CASA?",Legal/Bureau owner,Нет: manual upload engineering,Да: real CH production use,,No direct bureau access; production legal gate remains.,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1|CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§27 Open questions / legal gates|§19 Открытые вопросы и release gates,OQ-05|,OPEN,"ID/source: CH OQ-05; Question: Нужен ли договор с бюро для manual PDF, который клиент сам передал CASA?; Owner: Legal/Bureau owner; Blocks engineering?: Нет: manual upload engineering; Blocks production?: Да: real CH production use; Temporary safe behaviour: No direct bureau access; production legal gate remains."
