requirement_id,canonical_key,release,applicability,module_id,module_name,requirement_level,category,subsystem,requirement,expected_behavior,forbidden_behavior,input,output,state_or_status,source_documents,source_versions,source_sections,source_extract_ids,acceptance_test_ids,priority,criticality,implementation_layer,dependency,release_gate,open_gate_ids,developer_task_ids,notes
M02-CAN-0001,m02.current_1_0.product_semantic.f66c576c3696f6ac,1.0,CURRENT_1_0,M02,Проверка по ИИН,PRODUCT_SEMANTIC,VALIDATION,P-01. АИС ОИП: исполнительные производства и временное ограничение на выезд,"Официальные источники, проверено 21.08.2026: [S05], [S06], [S07], [S08].","Официальные источники, проверено 21.08.2026: [S05], [S06], [S07], [S08].",,,,,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,2026-08-21,P-01. АИС ОИП: исполнительные производства и временное ограничение на выезд,SRC-DOC-M02-P-00116,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M02-CAN-0002,m02.current_1_0.security_control.a8bf3a41f3454d5f,1.0,CURRENT_1_0,M02,Проверка по ИИН,SECURITY_CONTROL,CONSENT,P-01. АИС ОИП: исполнительные производства и временное ограничение на выезд,"1. Что можно узнать: 4. Согласие; Факт присутствия в реестре должников по исполнительным производствам; номер и даты производства, категория, сумма взыскания и публичные реквизиты исполнителя. Документация также предусматривает поля начала/окончания ограничения на выезд.: Для CASA — да, предметное. Публичный статус набора не отменяет обработку ИИН и связанного результата. LEGAL_REVIEW_REQUIRED.","1. Что можно узнать: 4. Согласие; Факт присутствия в реестре должников по исполнительным производствам; номер и даты производства, категория, сумма взыскания и публичные реквизиты исполнителя. Документация также предусматривает поля начала/окончания ограничения на выезд.: Для CASA — да, предметное. Публичный статус набора не отменяет обработку ИИН и связанного результата. LEGAL_REVIEW_REQUIRED.",,,,,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,2026-08-21,P-01. АИС ОИП: исполнительные производства и временное ограничение на выезд,SRC-DOC-M02-P-00120,,,,LEGAL,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M02-CAN-0003,m02.current_1_0.product_semantic.556d5c2068beaafc,1.0,CURRENT_1_0,M02,Проверка по ИИН,PRODUCT_SEMANTIC,API,P-01. АИС ОИП: исполнительные производства и временное ограничение на выезд,"1. Что можно узнать: 5. Авторизация клиента; Факт присутствия в реестре должников по исполнительным производствам; номер и даты производства, категория, сумма взыскания и публичные реквизиты исполнителя. Документация также предусматривает поля начала/окончания ограничения на выезд.: Нет для Open Data API и публичной формы.","1. Что можно узнать: 5. Авторизация клиента; Факт присутствия в реестре должников по исполнительным производствам; номер и даты производства, категория, сумма взыскания и публичные реквизиты исполнителя. Документация также предусматривает поля начала/окончания ограничения на выезд.: Нет для Open Data API и публичной формы.",,,,,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,2026-08-21,P-01. АИС ОИП: исполнительные производства и временное ограничение на выезд,SRC-DOC-M02-P-00121,,,,BACKEND|DATA,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M02-CAN-0004,m02.current_1_0.product_semantic.ca0ecdf421033f7f,1.0,CURRENT_1_0,M02,Проверка по ИИН,PRODUCT_SEMANTIC,API,P-01. АИС ОИП: исполнительные производства и временное ограничение на выезд,"1. Что можно узнать: 6. Договор/API; Факт присутствия в реестре должников по исполнительным производствам; номер и даты производства, категория, сумма взыскания и публичные реквизиты исполнителя. Документация также предусматривает поля начала/окончания ограничения на выезд.: API key и принятие пользовательского соглашения обязательны. Отдельное требование договора в опубликованных материалах не подтверждено.","1. Что можно узнать: 6. Договор/API; Факт присутствия в реестре должников по исполнительным производствам; номер и даты производства, категория, сумма взыскания и публичные реквизиты исполнителя. Документация также предусматривает поля начала/окончания ограничения на выезд.: API key и принятие пользовательского соглашения обязательны. Отдельное требование договора в опубликованных материалах не подтверждено.",,,,,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,2026-08-21,P-01. АИС ОИП: исполнительные производства и временное ограничение на выезд,SRC-DOC-M02-P-00122,,,,BACKEND,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M02-CAN-0005,m02.current_1_0.product_semantic.ced8bc072fd324be,1.0,CURRENT_1_0,M02,Проверка по ИИН,PRODUCT_SEMANTIC,API,P-01. АИС ОИП: исполнительные производства и временное ограничение на выезд,"1. Что можно узнать: 7. CAPTCHA; Факт присутствия в реестре должников по исполнительным производствам; номер и даты производства, категория, сумма взыскания и публичные реквизиты исполнителя. Документация также предусматривает поля начала/окончания ограничения на выезд.: В API нет; официальный ручной реестр использует код с картинки.","1. Что можно узнать: 7. CAPTCHA; Факт присутствия в реестре должников по исполнительным производствам; номер и даты производства, категория, сумма взыскания и публичные реквизиты исполнителя. Документация также предусматривает поля начала/окончания ограничения на выезд.: В API нет; официальный ручной реестр использует код с картинки.",,,,,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,2026-08-21,P-01. АИС ОИП: исполнительные производства и временное ограничение на выезд,SRC-DOC-M02-P-00123,,,,BACKEND,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M02-CAN-0006,m02.current_1_0.product_semantic.6d0a15ddba975570,1.0,CURRENT_1_0,M02,Проверка по ИИН,PRODUCT_SEMANTIC,API,P-01. АИС ОИП: исполнительные производства и временное ограничение на выезд,"1. Что можно узнать: 8. Законная автоматизация; Факт присутствия в реестре должников по исполнительным производствам; номер и даты производства, категория, сумма взыскания и публичные реквизиты исполнителя. Документация также предусматривает поля начала/окончания ограничения на выезд.: Технически подтверждена только через официальный API. Включить после API key, field allowlist, consent и legal approval. Не парсить сайт.","1. Что можно узнать: 8. Законная автоматизация; Факт присутствия в реестре должников по исполнительным производствам; номер и даты производства, категория, сумма взыскания и публичные реквизиты исполнителя. Документация также предусматривает поля начала/окончания ограничения на выезд.: Технически подтверждена только через официальный API. Включить после API key, field allowlist, consent и legal approval. Не парсить сайт.",,,,,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,2026-08-21,P-01. АИС ОИП: исполнительные производства и временное ограничение на выезд,SRC-DOC-M02-P-00124,,,,BACKEND|DATA|LEGAL,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M02-CAN-0007,m02.current_1_0.product_semantic.e6ec151242121b89,1.0,CURRENT_1_0,M02,Проверка по ИИН,PRODUCT_SEMANTIC,VALIDATION,P-01. АИС ОИП: исполнительные производства и временное ограничение на выезд,"1. Что можно узнать: 9. Только ручная проверка; Факт присутствия в реестре должников по исполнительным производствам; номер и даты производства, категория, сумма взыскания и публичные реквизиты исполнителя. Документация также предусматривает поля начала/окончания ограничения на выезд.: Fallback — открыть официальный реестр без автоматического заполнения/перехвата CAPTCHA.","1. Что можно узнать: 9. Только ручная проверка; Факт присутствия в реестре должников по исполнительным производствам; номер и даты производства, категория, сумма взыскания и публичные реквизиты исполнителя. Документация также предусматривает поля начала/окончания ограничения на выезд.: Fallback — открыть официальный реестр без автоматического заполнения/перехвата CAPTCHA.",,,,,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,2026-08-21,P-01. АИС ОИП: исполнительные производства и временное ограничение на выезд,SRC-DOC-M02-P-00125,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M02-CAN-0008,m02.current_1_0.product_semantic.5d76eb6e5088ad5a,1.0,CURRENT_1_0,M02,Проверка по ИИН,PRODUCT_SEMANTIC,BUSINESS_RULE,P-01. АИС ОИП: исполнительные производства и временное ограничение на выезд,"1. Что можно узнать: 10. Что сохранять; Факт присутствия в реестре должников по исполнительным производствам; номер и даты производства, категория, сумма взыскания и публичные реквизиты исполнителя. Документация также предусматривает поля начала/окончания ограничения на выезд.: `registry_presence`, № производства, даты, категория, recovery amount, restriction dates, source response code/ID/time/hash. Не сохранять ИИН взыскателя/исполнителя и лишние третьесторонние данные.","1. Что можно узнать: 10. Что сохранять; Факт присутствия в реестре должников по исполнительным производствам; номер и даты производства, категория, сумма взыскания и публичные реквизиты исполнителя. Документация также предусматривает поля начала/окончания ограничения на выезд.: `registry_presence`, № производства, даты, категория, recovery amount, restriction dates, source response code/ID/time/hash. Не сохранять ИИН взыскателя/исполнителя и лишние третьесторонние данные.",,,,,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,2026-08-21,P-01. АИС ОИП: исполнительные производства и временное ограничение на выезд,SRC-DOC-M02-P-00126,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M02-CAN-0009,m02.current_1_0.product_semantic.40f4306de714e575,1.0,CURRENT_1_0,M02,Проверка по ИИН,PRODUCT_SEMANTIC,BUSINESS_RULE,P-01. АИС ОИП: исполнительные производства и временное ограничение на выезд,"1. Что можно узнать: 11. Срок актуальности; Факт присутствия в реестре должников по исполнительным производствам; номер и даты производства, категория, сумма взыскания и публичные реквизиты исполнителя. Документация также предусматривает поля начала/окончания ограничения на выезд.: CASA policy: 24 часа. Отдельно хранить `source_data_as_of`; официальное обновление — по мере необходимости.","1. Что можно узнать: 11. Срок актуальности; Факт присутствия в реестре должников по исполнительным производствам; номер и даты производства, категория, сумма взыскания и публичные реквизиты исполнителя. Документация также предусматривает поля начала/окончания ограничения на выезд.: CASA policy: 24 часа. Отдельно хранить `source_data_as_of`; официальное обновление — по мере необходимости.",,,,,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,2026-08-21,P-01. АИС ОИП: исполнительные производства и временное ограничение на выезд,SRC-DOC-M02-P-00127,,,,DATA,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
M02-CAN-0010,m02.current_1_0.product_semantic.5ae4102e9edb25e1,1.0,CURRENT_1_0,M02,Проверка по ИИН,PRODUCT_SEMANTIC,BUSINESS_RULE,P-01. АИС ОИП: исполнительные производства и временное ограничение на выезд,"1. Что можно узнать: 12. Недоступность; Факт присутствия в реестре должников по исполнительным производствам; номер и даты производства, категория, сумма взыскания и публичные реквизиты исполнителя. Документация также предусматривает поля начала/окончания ограничения на выезд.: Два ограниченных retry с backoff → `SOURCE_UNAVAILABLE` → ручная карточка. Никогда не создавать `NOT_FOUND` из timeout/5xx/HTML/CAPTCHA.","1. Что можно узнать: 12. Недоступность; Факт присутствия в реестре должников по исполнительным производствам; номер и даты производства, категория, сумма взыскания и публичные реквизиты исполнителя. Документация также предусматривает поля начала/окончания ограничения на выезд.: Два ограниченных retry с backoff → `SOURCE_UNAVAILABLE` → ручная карточка. Никогда не создавать `NOT_FOUND` из timeout/5xx/HTML/CAPTCHA.",,,,,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,2026-08-21,P-01. АИС ОИП: исполнительные производства и временное ограничение на выезд,SRC-DOC-M02-P-00128,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
