gate_id,release,module,requirement,pass_condition,current_status,blocking_reason,required_evidence,source_document,source_section
RG1,1.0,CROSS_MODULE,Согласие и права доступа работают,Approved consent version; participant-bound consent; tenant/case authorization; audit evidence,NOT_TESTED,Обязательный gate,Approved consent version; participant-bound consent; tenant/case authorization; audit evidence,01_CASA_Pro_ACCEPTANCE_MATRIX_v1.1,RELEASE_GATE_1_0
RG2,1.0,CROSS_MODULE,Ручная загрузка двух PDF работает,Успешный upload КИ и пенсионных + negative file tests + consent gate,NOT_TESTED,Без прямого получения КИ/пенсионных,Успешный upload КИ и пенсионных + negative file tests + consent gate,01_CASA_Pro_ACCEPTANCE_MATRIX_v1.1,RELEASE_GATE_1_0
RG3,1.0,CROSS_MODULE,Credit History regression проходит,"Exact fixture outputs, CH-001…CH-090 evidence, no unresolved critical tasks",NOT_TESTED,BUG-CH-001 проверяется фактически,"Exact fixture outputs, CH-001…CH-090 evidence, no unresolved critical tasks",01_CASA_Pro_ACCEPTANCE_MATRIX_v1.1,RELEASE_GATE_1_0
RG4,1.0,CROSS_MODULE,Pension regression проходит,"Exact pension fixture, PC-001…040, PCR-001…015 evidence",NOT_TESTED,Coverage/base UNKNOWN остаются явными,"Exact pension fixture, PC-001…040, PCR-001…015 evidence",01_CASA_Pro_ACCEPTANCE_MATRIX_v1.1,RELEASE_GATE_1_0
RG5,1.0,CROSS_MODULE,IIN R0 соответствует разрешённому режиму,"Source registry, modes, manual tasks, coverage, evidence, connectors deny-by-default",NOT_TESTED,Production APIs не обязательны для R0,"Source registry, modes, manual tasks, coverage, evidence, connectors deny-by-default",01_CASA_Pro_ACCEPTANCE_MATRIX_v1.1,RELEASE_GATE_1_0
RG6,1.0,CROSS_MODULE,Client Profile не дублирует подтверждённые данные,"CP suite, source badges, participant separation, conflicts/UNKNOWN preserved",NOT_TESTED,Published snapshots используются read-only,"CP suite, source badges, participant separation, conflicts/UNKNOWN preserved",01_CASA_Pro_ACCEPTANCE_MATRIX_v1.1,RELEASE_GATE_1_0
RG7,1.0,CROSS_MODULE,Критичные распознанные значения проверяемы по источнику,"Page/crop evidence, confirm/correct, reason and audit",NOT_TESTED,* evidence/review tests,"Page/crop evidence, confirm/correct, reason and audit",01_CASA_Pro_ACCEPTANCE_MATRIX_v1.1,RELEASE_GATE_1_0
RG8,1.0,CROSS_MODULE,UNKNOWN не превращается в 0/false/clean,Boundary fixtures across IIN/CH/Pension/Profile and downstream propagation,NOT_TESTED,* UNKNOWN/boundary tests,Boundary fixtures across IIN/CH/Pension/Profile and downstream propagation,01_CASA_Pro_ACCEPTANCE_MATRIX_v1.1,RELEASE_GATE_1_0
RG9,1.0,CROSS_MODULE,Внутренние коды не выводятся брокеру,Human-language UI evidence for all main states; prohibited labels absent,NOT_TESTED,AT-USA-001–005; module UX tests,Human-language UI evidence for all main states; prohibited labels absent,01_CASA_Pro_ACCEPTANCE_MATRIX_v1.1,RELEASE_GATE_1_0
RG10,1.0,CROSS_MODULE,Calculation Spec утверждён и базовые расчёты прошли эталоны,Approved Calculation Engine Spec + formula registry + exact positive/negative/boundary results,BLOCKED,Сейчас BLOCKED: CALCULATION_SPEC_REQUIRED,Approved Calculation Engine Spec + formula registry + exact positive/negative/boundary results,01_CASA_Pro_ACCEPTANCE_MATRIX_v1.1,RELEASE_GATE_1_0
RG11,1.0,CROSS_MODULE,Один сквозной кейс проходит до расчётного snapshot,"FX-E2E-CASE-001, immutable snapshots, provenance and replay evidence",BLOCKED,Зависит от RG10,"FX-E2E-CASE-001, immutable snapshots, provenance and replay evidence",01_CASA_Pro_ACCEPTANCE_MATRIX_v1.1,RELEASE_GATE_1_0
RG12,1.0,CROSS_MODULE,Нет CRITICAL FAIL,Dashboard/Acceptance Matrix shows zero CRITICAL FAIL; all critical tests resolved,BLOCKED,PASS только после завершения критических тестов,Dashboard/Acceptance Matrix shows zero CRITICAL FAIL; all critical tests resolved,01_CASA_Pro_ACCEPTANCE_MATRIX_v1.1,RELEASE_GATE_1_0
