requirement_id,source_section,old_release,old_applicability,new_release,new_applicability,reason,status
CORE-CAN-0005,§02 Проверка по ИИН,1.1,FUTURE_1_1_BOUNDARY,1.0,CURRENT_1_0,Current M02 boundary: the prohibition applies during release 1.0.,RELEASE_MAPPING_CORRECTED
CORE-CAN-0014,§06 Финансовые расчёты,1.1,FUTURE_1_1_BOUNDARY,1.0,CURRENT_1_0,"Current M06 boundary: no Bank Rule, salary guess or UNKNOWN-to-zero conversion in 1.0.",RELEASE_MAPPING_CORRECTED
CORE-CAN-0017,§08 Предварительное сопоставление с программами,1.0,CURRENT_1_0,1.1,FUTURE_1_1_BOUNDARY,MASTER §20 release mapping applied to full source section '§08 Предварительное сопоставление с программами'.,RELEASE_MAPPING_CORRECTED
CORE-CAN-0018,§08 Предварительное сопоставление с программами,1.0,CURRENT_1_0,1.1,FUTURE_1_1_BOUNDARY,MASTER §20 release mapping applied to full source section '§08 Предварительное сопоставление с программами'.,RELEASE_MAPPING_CORRECTED
CORE-CAN-0027,§10 Кредитная история: обязательные принципы,1.3,FUTURE_1_3_BOUNDARY,1.0,CURRENT_1_0,Credit History уступки/коллекторы semantics belongs to the 1.0 document-processing core.,RELEASE_MAPPING_CORRECTED
CORE-CAN-0031,§10 Следующее действие,1.2,FUTURE_1_2_BOUNDARY,1.3,FUTURE_1_3_BOUNDARY,MASTER §20 release mapping applied to full source section '§10 Следующее действие'.,RELEASE_MAPPING_CORRECTED
CORE-CAN-0034,§11 Заключение клиенту,1.2,FUTURE_1_2_BOUNDARY,1.3,FUTURE_1_3_BOUNDARY,MASTER §20 release mapping applied to full source section '§11 Заключение клиенту'.,RELEASE_MAPPING_CORRECTED
CORE-CAN-0046,§12 Повторная проверка старых клиентов,1.5,FUTURE_1_5_BOUNDARY,1.0,CURRENT_1_0,Current architectural boundary: mortgage modules have no hidden real-estate dependency.,RELEASE_MAPPING_CORRECTED
CORE-CAN-0063,§15 Пользовательские результаты программы,1.0,CURRENT_1_0,1.1,FUTURE_1_1_BOUNDARY,MASTER §20 release mapping applied to full source section '§15 Пользовательские результаты программы'.,RELEASE_MAPPING_CORRECTED
CORE-CAN-0064,§15 Пользовательские результаты программы,1.2,FUTURE_1_2_BOUNDARY,1.1,FUTURE_1_1_BOUNDARY,MASTER §20 release mapping applied to full source section '§15 Пользовательские результаты программы'.,RELEASE_MAPPING_CORRECTED
