api_id,module_id,method,source_path,canonical_path,scope_type,purpose,request,response,preconditions,authorization,consent_requirement,idempotency,concurrency,error_behavior,forbidden_behavior,source_documents,source_sections,governance_decision_id,status
API-M01-001,M01,POST,/api/v2/cases,/api/v2/cases,CASE_SCOPED,API surface: POST /api/v2/cases; Контракт: Idempotent case create; tenant ownership + audit.,API surface: POST /api/v2/cases; Контракт: Idempotent case create; tenant ownership + audit.,,,API surface: POST /api/v2/cases; Контракт: Idempotent case create; tenant ownership + audit.,,API surface: POST /api/v2/cases; Контракт: Idempotent case create; tenant ownership + audit.,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,Consent preflight,,APPROVED
API-M01-002,M01,POST,/api/v2/cases/{case_id}/participants,/api/v2/cases/{case_id}/participants,CASE_SCOPED,API surface: POST /api/v2/cases/{case_id}/participants; Контракт: Отдельный participant/role; no consent inheritance.,API surface: POST /api/v2/cases/{case_id}/participants; Контракт: Отдельный participant/role; no consent inheritance.,,,,API surface: POST /api/v2/cases/{case_id}/participants; Контракт: Отдельный participant/role; no consent inheritance.,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,Consent preflight,,APPROVED
API-M01-003,M01,POST,/api/v2/participants/{participant_id}/identity-versions,/api/v2/participants/{participant_id}/identity-versions,PARTICIPANT_SCOPED,API surface: POST /api/v2/participants/{participant_id}/identity-versions; Контракт: New immutable version; old refs preserved.,API surface: POST /api/v2/participants/{participant_id}/identity-versions; Контракт: New immutable version; old refs preserved.,,,,,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,Consent preflight,,APPROVED
API-M01-004,M01,POST,/api/v2/participants/{participant_id}/consent-requests,/api/v2/participants/{participant_id}/consent-requests,PARTICIPANT_SCOPED,API surface: POST /api/v2/participants/{participant_id}/consent-requests; Контракт: Request exact approved text/purposes; channel adapter only if enabled.,API surface: POST /api/v2/participants/{participant_id}/consent-requests; Контракт: Request exact approved text/purposes; channel adapter only if enabled.,,,,API surface: POST /api/v2/participants/{participant_id}/consent-requests; Контракт: Request exact approved text/purposes; channel adapter only if enabled.,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,Consent preflight,,APPROVED
API-M01-005,M01,POST,/api/v2/consents/{consent_id}:record-confirmation,/api/v2/consents/{consent_id}:record-confirmation,RESOURCE_SCOPED,API surface: POST /api/v2/consents/{consent_id}:record-confirmation; Контракт: Internal approved adapter + evidence validation; broker impersonation forbidden.,API surface: POST /api/v2/consents/{consent_id}:record-confirmation; Контракт: Internal approved adapter + evidence validation; broker impersonation forbidden.,,,,API surface: POST /api/v2/consents/{consent_id}:record-confirmation; Контракт: Internal approved adapter + evidence validation; broker impersonation forbidden.,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,Consent preflight,,APPROVED
API-M01-006,M01,POST,/api/v2/consents/{consent_id}:revoke,/api/v2/consents/{consent_id}:revoke,RESOURCE_SCOPED,API surface: POST /api/v2/consents/{consent_id}:revoke; Контракт: Append-only revoke event + policy evaluation.,API surface: POST /api/v2/consents/{consent_id}:revoke; Контракт: Append-only revoke event + policy evaluation.,,,,API surface: POST /api/v2/consents/{consent_id}:revoke; Контракт: Append-only revoke event + policy evaluation.,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,Consent preflight,,APPROVED
API-M01-007,M01,POST,/api/v2/consent-preflight,/api/v2/consent-preflight,INTERNAL,API surface: POST /api/v2/consent-preflight; Контракт: Allow/deny for exact participant/identity/action/purpose; emits audit ref.,API surface: POST /api/v2/consent-preflight; Контракт: Allow/deny for exact participant/identity/action/purpose; emits audit ref.,,,,API surface: POST /api/v2/consent-preflight; Контракт: Allow/deny for exact participant/identity/action/purpose; emits audit ref.,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,Consent preflight,,APPROVED
API-M02-001,M02,POST,/api/v2/mortgage-cases/{case_id}/iin-check-batches,/api/v2/cases/{case_id}/iin-check-batches,CASE_SCOPED,Метод: POST; Endpoint: /api/v2/mortgage-cases/{case_id}/iin-check-batches; Контракт: Создать batch; требует Idempotency-Key и consent,Метод: POST; Endpoint: /api/v2/mortgage-cases/{case_id}/iin-check-batches; Контракт: Создать batch; требует Idempotency-Key и consent,,,,Метод: POST; Endpoint: /api/v2/mortgage-cases/{case_id}/iin-check-batches; Контракт: Создать batch; требует Idempotency-Key и consent,Метод: POST; Endpoint: /api/v2/mortgage-cases/{case_id}/iin-check-batches; Контракт: Создать batch; требует Idempotency-Key и consent,,,,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,§8.5 API CASA,DEC-API-001,APPROVED
API-M02-002,M02,GET,/api/v2/iin-check-batches/{batch_id},/api/v2/iin-check-batches/{batch_id},RESOURCE_SCOPED,Метод: GET; Endpoint: /api/v2/iin-check-batches/{batch_id}; Контракт: Batch + coverage; ИИН маскирован,,Метод: GET; Endpoint: /api/v2/iin-check-batches/{batch_id}; Контракт: Batch + coverage; ИИН маскирован,,,,,,,,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,§8.5 API CASA,,APPROVED
API-M02-003,M02,GET,/api/v2/iin-check-batches/{batch_id}/results,/api/v2/iin-check-batches/{batch_id}/results,RESOURCE_SCOPED,Метод: GET; Endpoint: /api/v2/iin-check-batches/{batch_id}/results; Контракт: Поисточниковые results,,Метод: GET; Endpoint: /api/v2/iin-check-batches/{batch_id}/results; Контракт: Поисточниковые results,,,,,,,,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,§8.5 API CASA,,APPROVED
API-M02-004,M02,POST,/api/v2/iin-check-results/{result_id}/retry,/api/v2/iin-check-results/{result_id}/retry,RESOURCE_SCOPED,Метод: POST; Endpoint: /api/v2/iin-check-results/{result_id}/retry; Контракт: Только retryable source error; новый attempt,Метод: POST; Endpoint: /api/v2/iin-check-results/{result_id}/retry; Контракт: Только retryable source error; новый attempt,,,,,,,Метод: POST; Endpoint: /api/v2/iin-check-results/{result_id}/retry; Контракт: Только retryable source error; новый attempt,,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,§8.5 API CASA,,APPROVED
API-M02-005,M02,POST,/api/v2/manual-check-tasks/{task_id}/confirm,/api/v2/manual-check-tasks/{task_id}/confirm,RESOURCE_SCOPED,Метод: POST; Endpoint: /api/v2/manual-check-tasks/{task_id}/confirm; Контракт: Actor + observed outcome + evidence; не меняет прошлое,Метод: POST; Endpoint: /api/v2/manual-check-tasks/{task_id}/confirm; Контракт: Actor + observed outcome + evidence; не меняет прошлое,,,,,,,,Метод: POST; Endpoint: /api/v2/manual-check-tasks/{task_id}/confirm; Контракт: Actor + observed outcome + evidence; не меняет прошлое,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,§8.5 API CASA,,APPROVED
API-M02-006,M02,POST,/api/v2/iin-check-batches/{batch_id}/refresh,/api/v2/iin-check-batches/{batch_id}/refresh,RESOURCE_SCOPED,"Метод: POST; Endpoint: /api/v2/iin-check-batches/{batch_id}/refresh; Контракт: Новый batch, старый immutable/superseded","Метод: POST; Endpoint: /api/v2/iin-check-batches/{batch_id}/refresh; Контракт: Новый batch, старый immutable/superseded",,,,,,,,,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,§8.5 API CASA,,APPROVED
API-M03-001,M03,POST,/api/v2/cases/{caseId}/participants/{participantId}/credit-reports/upload-grant,/api/v2/cases/{caseId}/participants/{participantId}/credit-reports/upload-grant,CASE_SCOPED,Method: POST; Endpoint: /api/v2/cases/{caseId}/participants/{participantId}/credit-reports/upload-grant; Назначение: Одноразовый upload grant после consent/ACL check,Method: POST; Endpoint: /api/v2/cases/{caseId}/participants/{participantId}/credit-reports/upload-grant; Назначение: Одноразовый upload grant после consent/ACL check,,,Method: POST; Endpoint: /api/v2/cases/{caseId}/participants/{participantId}/credit-reports/upload-grant; Назначение: Одноразовый upload grant после consent/ACL check,Method: POST; Endpoint: /api/v2/cases/{caseId}/participants/{participantId}/credit-reports/upload-grant; Назначение: Одноразовый upload grant после consent/ACL check,,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.1 Command/API surface,,APPROVED
API-M03-002,M03,POST,/api/v2/credit-reports/{reportId}/versions/{versionId}:process,/api/v2/credit-reports/{reportId}/versions/{versionId}:process,RESOURCE_SCOPED,Method: POST; Endpoint: /api/v2/credit-reports/{reportId}/versions/{versionId}:process; Назначение: Idempotent start/retry parse; Idempotency-Key required,Method: POST; Endpoint: /api/v2/credit-reports/{reportId}/versions/{versionId}:process; Назначение: Idempotent start/retry parse; Idempotency-Key required,,,,,Method: POST; Endpoint: /api/v2/credit-reports/{reportId}/versions/{versionId}:process; Назначение: Idempotent start/retry parse; Idempotency-Key required,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.1 Command/API surface,,APPROVED
API-M03-003,M03,GET,/api/v2/credit-reports/{reportId},/api/v2/credit-reports/{reportId},RESOURCE_SCOPED,"Method: GET; Endpoint: /api/v2/credit-reports/{reportId}; Назначение: Шапка, versions, statuses",,"Method: GET; Endpoint: /api/v2/credit-reports/{reportId}; Назначение: Шапка, versions, statuses",,,,,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.1 Command/API surface,,APPROVED
API-M03-004,M03,GET,/api/v2/credit-reports/{reportId}/versions/{versionId}/results,/api/v2/credit-reports/{reportId}/versions/{versionId}/results,RESOURCE_SCOPED,"Method: GET; Endpoint: /api/v2/credit-reports/{reportId}/versions/{versionId}/results; Назначение: Facts, source records, lineages, profiles, reconciliation",,"Method: GET; Endpoint: /api/v2/credit-reports/{reportId}/versions/{versionId}/results; Назначение: Facts, source records, lineages, profiles, reconciliation",,,,,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.1 Command/API surface,,APPROVED
API-M03-005,M03,GET,/api/v2/credit-reports/{reportId}/review-tasks,/api/v2/credit-reports/{reportId}/review-tasks,RESOURCE_SCOPED,"Method: GET; Endpoint: /api/v2/credit-reports/{reportId}/review-tasks; Назначение: Очередь review, фильтры severity/type/status",,"Method: GET; Endpoint: /api/v2/credit-reports/{reportId}/review-tasks; Назначение: Очередь review, фильтры severity/type/status",,,,,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.1 Command/API surface,,APPROVED
API-M03-006,M03,POST,/api/v2/credit-reports/{reportId}/review-tasks/{taskId}:resolve,/api/v2/credit-reports/{reportId}/review-tasks/{taskId}:resolve,RESOURCE_SCOPED,Method: POST; Endpoint: /api/v2/credit-reports/{reportId}/review-tasks/{taskId}:resolve; Назначение: Accept/correct/reject/waive с reason и If-Match,Method: POST; Endpoint: /api/v2/credit-reports/{reportId}/review-tasks/{taskId}:resolve; Назначение: Accept/correct/reject/waive с reason и If-Match,,,,,,Method: POST; Endpoint: /api/v2/credit-reports/{reportId}/review-tasks/{taskId}:resolve; Назначение: Accept/correct/reject/waive с reason и If-Match,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.1 Command/API surface,,APPROVED
API-M03-007,M03,POST,/api/v2/credit-reports/{reportId}/lineage-links/{linkId}:decide,/api/v2/credit-reports/{reportId}/lineage-links/{linkId}:decide,RESOURCE_SCOPED,Method: POST; Endpoint: /api/v2/credit-reports/{reportId}/lineage-links/{linkId}:decide; Назначение: Merge/keep/split с evidence/reason,Method: POST; Endpoint: /api/v2/credit-reports/{reportId}/lineage-links/{linkId}:decide; Назначение: Merge/keep/split с evidence/reason,,,,,,,,,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,§15.1 Command/API surface,,APPROVED
