requirement_id,canonical_key,release,applicability,module_id,module_name,requirement_level,category,subsystem,requirement,expected_behavior,forbidden_behavior,input,output,state_or_status,source_documents,source_versions,source_sections,source_extract_ids,acceptance_test_ids,priority,criticality,implementation_layer,dependency,release_gate,open_gate_ids,developer_task_ids,notes
CORE-CAN-0001,core.current_1_0.cross_module.cdc13c7dcf00da55,1.0,CURRENT_1_0,CORE,CASA Pro Core,CROSS_MODULE,CONSENT,§01 Клиент и согласие,"Вход: роль пользователя, данные участника, цель обработки, версия согласия","Вход: роль пользователя, данные участника, цель обработки, версия согласия",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§01 Клиент и согласие,SRC-DOC-000-00077,,,,LEGAL,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
CORE-CAN-0002,core.current_1_0.cross_module.9018c4d0f6f9bcad,1.0,CURRENT_1_0,CORE,CASA Pro Core,CROSS_MODULE,CONSENT,§01 Клиент и согласие,"Действие и выход: создаёт участника, кейс, согласие и журнал действий → идентифицированный участник и действующий статус согласия","Действие и выход: создаёт участника, кейс, согласие и журнал действий → идентифицированный участник и действующий статус согласия",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§01 Клиент и согласие,SRC-DOC-000-00078,,,,LEGAL,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
CORE-CAN-0003,core.current_1_0.cross_module.cb411dc37f7298b2,1.0,CURRENT_1_0,CORE,CASA Pro Core,CROSS_MODULE,CONSENT,§02 Проверка по ИИН,"Вход: валидный ИИН, участник, предметное согласие, реестр источников и разрешения","Вход: валидный ИИН, участник, предметное согласие, реестр источников и разрешения",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§02 Проверка по ИИН,SRC-DOC-000-00083,,,,LEGAL,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
CORE-CAN-0004,core.current_1_0.cross_module.5f06cb80d265af6e,1.0,CURRENT_1_0,CORE,CASA Pro Core,CROSS_MODULE,VALIDATION,§02 Проверка по ИИН,"Действие и выход: делит проверки на автоматические, ручные, клиент-авторизованные и недоступные → результаты по каждому источнику, покрытие, даты и доказательства","Действие и выход: делит проверки на автоматические, ручные, клиент-авторизованные и недоступные → результаты по каждому источнику, покрытие, даты и доказательства",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§02 Проверка по ИИН,SRC-DOC-000-00084,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
CORE-CAN-0005,core.current_1_0.boundary.a809932f35f60ec3,1.0,CURRENT_1_0,CORE,CASA Pro Core,BOUNDARY,VALIDATION,§02 Проверка по ИИН,"Не делает: не получает КИ/ЕНПФ, не обходит CAPTCHA и не создаёт банковский вердикт","Не делает: не получает КИ/ЕНПФ, не обходит CAPTCHA и не создаёт банковский вердикт",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§02 Проверка по ИИН,SRC-DOC-000-00085,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv. Release/applicability corrected in V3.1 from MASTER v1.2 §20; product semantics unchanged.
CORE-CAN-0006,core.current_1_0.cross_module.2fe8e5e6531ec547,1.0,CURRENT_1_0,CORE,CASA Pro Core,CROSS_MODULE,CONSENT,§03 Кредитная история,Вход: вручную загруженный PDF ПКО и действующее согласие,Вход: вручную загруженный PDF ПКО и действующее согласие,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§03 Кредитная история,SRC-DOC-000-00089,,,,PARSER|LEGAL,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
CORE-CAN-0007,core.current_1_0.cross_module.e91c93793d698a94,1.0,CURRENT_1_0,CORE,CASA Pro Core,CROSS_MODULE,VALIDATION,§03 Кредитная история,"Действие и выход: проверяет файл, извлекает записи, строит цепочки долга, сверяет итоги и просит подтверждение → неизменяемый снимок текущего долга, истории, качества и неизвестностей","Действие и выход: проверяет файл, извлекает записи, строит цепочки долга, сверяет итоги и просит подтверждение → неизменяемый снимок текущего долга, истории, качества и неизвестностей",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§03 Кредитная история,SRC-DOC-000-00090,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
CORE-CAN-0008,core.current_1_0.cross_module.e1d358281174a1cf,1.0,CURRENT_1_0,CORE,CASA Pro Core,CROSS_MODULE,CONSENT,§04 Пенсионные отчисления,Вход: вручную загруженный поддерживаемый PDF и согласие,Вход: вручную загруженный поддерживаемый PDF и согласие,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§04 Пенсионные отчисления,SRC-DOC-000-00095,,,,PARSER|LEGAL,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
CORE-CAN-0009,core.current_1_0.cross_module.c125c853a4138c58,1.0,CURRENT_1_0,CORE,CASA Pro Core,CROSS_MODULE,CALCULATION,§04 Пенсионные отчисления,"Действие и выход: извлекает строки, месяцы, суммы, КНП, отправителей и качество; отделяет неизвестности → снимок пенсионных фактов, нейтральных показателей и ограничений расчётной базы","Действие и выход: извлекает строки, месяцы, суммы, КНП, отправителей и качество; отделяет неизвестности → снимок пенсионных фактов, нейтральных показателей и ограничений расчётной базы",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§04 Пенсионные отчисления,SRC-DOC-000-00096,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
CORE-CAN-0010,core.current_1_0.cross_module.194d4128b6a851a8,1.0,CURRENT_1_0,CORE,CASA Pro Core,CROSS_MODULE,BUSINESS_RULE,§05 Профиль клиента,Вход: опубликованные снимки ИИН/КИ/пенсионных и ручные ответы клиента,Вход: опубликованные снимки ИИН/КИ/пенсионных и ручные ответы клиента,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§05 Профиль клиента,SRC-DOC-000-00103,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
CORE-CAN-0011,core.current_1_0.cross_module.fabdb3ab4618f6cb,1.0,CURRENT_1_0,CORE,CASA Pro Core,CROSS_MODULE,SNAPSHOT,§05 Профиль клиента,"Действие и выход: добавляет только недостающие факты о цели, участниках, работе, доходах, активах и ПВ; фиксирует конфликты → неизменяемый client_profile_snapshot","Действие и выход: добавляет только недостающие факты о цели, участниках, работе, доходах, активах и ПВ; фиксирует конфликты → неизменяемый client_profile_snapshot",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§05 Профиль клиента,SRC-DOC-000-00104,,,,DATA,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
CORE-CAN-0012,core.current_1_0.cross_module.48e439460c676cc8,1.0,CURRENT_1_0,CORE,CASA Pro Core,CROSS_MODULE,CALCULATION,§06 Финансовые расчёты,"Вход: подтверждённый профиль, текущие обязательства, цель покупки и разрешённые параметры","Вход: подтверждённый профиль, текущие обязательства, цель покупки и разрешённые параметры",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§06 Финансовые расчёты,SRC-DOC-000-00109,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
CORE-CAN-0013,core.current_1_0.cross_module.5b650da471390acf,1.0,CURRENT_1_0,CORE,CASA Pro Core,CROSS_MODULE,FORMULA,§06 Финансовые расчёты,"Действие и выход: применяет утверждённые формулы и фиксирует входы, версию и результат → расчётные показатели CASA и список UNKNOWN/блокеров","Действие и выход: применяет утверждённые формулы и фиксирует входы, версию и результат → расчётные показатели CASA и список UNKNOWN/блокеров",,,,UNKNOWN,00_CASA_Pro_MASTER_v1.2,1.2,§06 Финансовые расчёты,SRC-DOC-000-00110,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
CORE-CAN-0014,core.current_1_0.boundary.624b025fb55fb71d,1.0,CURRENT_1_0,CORE,CASA Pro Core,BOUNDARY,CALCULATION,§06 Финансовые расчёты,"Не делает: не создаёт банковское правило, не угадывает зарплату и не заменяет неизвестное нулём","Не делает: не создаёт банковское правило, не угадывает зарплату и не заменяет неизвестное нулём",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§06 Финансовые расчёты,SRC-DOC-000-00111,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv. Release/applicability corrected in V3.1 from MASTER v1.2 §20; product semantics unchanged.
CORE-CAN-0015,core.future_1_1_boundary.boundary.64b16b40546ac84e,1.1,FUTURE_1_1_BOUNDARY,CORE,CASA Pro Core,BOUNDARY,BUSINESS_RULE,§07 База условий банков (Bank Rules Engine),"Вход: 05 Bank Rules Standard и утверждённые отдельные пакеты правил конкретных банков с источниками, версиями и владельцами","Вход: 05 Bank Rules Standard и утверждённые отдельные пакеты правил конкретных банков с источниками, версиями и владельцами",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§07 База условий банков (Bank Rules Engine),SRC-DOC-000-00115,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
CORE-CAN-0016,core.future_1_1_boundary.boundary.eca60ddd124e63a0,1.1,FUTURE_1_1_BOUNDARY,CORE,CASA Pro Core,BOUNDARY,VALIDATION,§07 База условий банков (Bank Rules Engine),Действие и выход: публикует правила только после проверки источника и тестов → версия программы и набор применимых правил,Действие и выход: публикует правила только после проверки источника и тестов → версия программы и набор применимых правил,,,,,00_CASA_Pro_MASTER_v1.2,1.2,§07 База условий банков (Bank Rules Engine),SRC-DOC-000-00116,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv.
CORE-CAN-0017,core.future_1_1_boundary.boundary.1d7dc426ff6a6231,1.1,FUTURE_1_1_BOUNDARY,CORE,CASA Pro Core,BOUNDARY,CALCULATION,§08 Предварительное сопоставление с программами,"Вход: client_profile_snapshot, расчётный снимок, опубликованная версия правил","Вход: client_profile_snapshot, расчётный снимок, опубликованная версия правил",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§08 Предварительное сопоставление с программами,SRC-DOC-000-00121,,,,DATA,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv. Release/applicability corrected in V3.1 from MASTER v1.2 §20; product semantics unchanged.
CORE-CAN-0018,core.future_1_1_boundary.boundary.8bf29966d6c14809,1.1,FUTURE_1_1_BOUNDARY,CORE,CASA Pro Core,BOUNDARY,VALIDATION,§08 Предварительное сопоставление с программами,"Действие и выход: проверяет только известные условия, сохраняет причины, неизвестности и использованные версии → один из трёх пользовательских результатов по каждой программе","Действие и выход: проверяет только известные условия, сохраняет причины, неизвестности и использованные версии → один из трёх пользовательских результатов по каждой программе",,,,,00_CASA_Pro_MASTER_v1.2,1.2,§08 Предварительное сопоставление с программами,SRC-DOC-000-00122,,,,MULTI_LAYER,,,,,Canonicalized from 1 candidate row(s); source text preserved in 10_SOURCE_EXTRACTS.csv. Release/applicability corrected in V3.1 from MASTER v1.2 §20; product semantics unchanged.
