contract_id,module_id,object_name,field_name,field_path,contract_version,type,unit,required,nullable,allowed_states,source_owner,meaning,must_not_mean,validation,versioning,provenance_required,evidence_required,source_documents,source_sections,source_extract_ids,notes
DC-M01-CAN-0001,M01,client_profile,CO-BORROWER relation/role,client_profile.co_borrower_relation_role,,,,,,,M01,"Отдельная роль/связь Client Profile Spec; может быть несколько с ordinal. | Только после явного включения. | Отдельный participant, identity, consent, документы и snapshots.",,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§6 Роли участников,SRC-DOC-M01-I-00071,"Роль / связь: CO-BORROWER relation/role; Смысл: Отдельная роль/связь Client Profile Spec; может быть несколько с ordinal.; included_in_analysis: Только после явного включения.; Consent / данные: Отдельный participant, identity, consent, документы и snapshots."
DC-M01-CAN-0002,M01,client_profile,OTHER_PARTICIPANT,client_profile.other_participant,,,,,,,M01,"Только при реальной необходимости, уже предусмотренной Client Profile Spec. | По явной purpose/role policy. | Никакого автоматического доступа к данным других участников.",,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§6 Роли участников,SRC-DOC-M01-I-00072,"Роль / связь: OTHER_PARTICIPANT; Смысл: Только при реальной необходимости, уже предусмотренной Client Profile Spec.; included_in_analysis: По явной purpose/role policy.; Consent / данные: Никакого автоматического доступа к данным других участников."
DC-M01-CAN-0003,M01,consent,confirmation_method,consent.confirmation_method,,,,TRUE,,,M01,Только approved | Registry/reference. SMS/OTP не становится production method из demo screenshot.,Только approved | Registry/reference. SMS/OTP не становится production method из demo screenshot.,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§7 Consent model,SRC-DOC-M01-I-00089,Поле / объект: confirmation_method; Обязательно: Только approved; Implementation rule: Registry/reference. SMS/OTP не становится production method из demo screenshot.
DC-M01-CAN-0004,M01,consent,consent_id,consent.consent_id,,Уникальный immutable reference; не boolean field на client.,,TRUE,,,M01,Да | Уникальный immutable reference; не boolean field на client.,Да | Уникальный immutable reference; не boolean field на client.,,Да | Уникальный immutable reference; не boolean field на client.,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§7 Consent model,SRC-DOC-M01-I-00082,Поле / объект: consent_id; Обязательно: Да; Implementation rule: Уникальный immutable reference; не boolean field на client.
DC-M01-CAN-0005,M01,consent,consent text artifact,consent.consent_text_artifact,,,,,,,M01,Да после approval | Новый текст/цели = новая version/hash. | Старый grant не расширяется.,Да после approval | Новый текст/цели = новая version/hash. | Старый grant не расширяется.,,Да после approval | Новый текст/цели = новая version/hash. | Старый grant не расширяется.,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§15 Versioning / immutability,SRC-DOC-M01-I-00185,Объект: consent text artifact; Immutable: Да после approval; Versioned change: Новый текст/цели = новая version/hash.; Historical rule: Старый grant не расширяется.
DC-M01-CAN-0006,M01,consent,consent_text_version + hash/ref,consent.consent_text_version_hash_ref,,Ссылка на approved immutable artifact; текст не хранится как mutable UI string.,,TRUE,,,M01,Да | Ссылка на approved immutable artifact; текст не хранится как mutable UI string.,Да | Ссылка на approved immutable artifact; текст не хранится как mutable UI string.,,Да | Ссылка на approved immutable artifact; текст не хранится как mutable UI string.,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§7 Consent model,SRC-DOC-M01-I-00086,Поле / объект: consent_text_version + hash/ref; Обязательно: Да; Implementation rule: Ссылка на approved immutable artifact; текст не хранится как mutable UI string.
DC-M01-CAN-0007,M01,consent,created/updated/supersedes,consent.created_updated_supersedes,,,,TRUE,,,M01,Да | Новая версия не перезаписывает прежний consent/evidence.,Да | Новая версия не перезаписывает прежний consent/evidence.,,Да | Новая версия не перезаписывает прежний consent/evidence.,TRUE,TRUE,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§7 Consent model,SRC-DOC-M01-I-00092,Поле / объект: created/updated/supersedes; Обязательно: Да; Implementation rule: Новая версия не перезаписывает прежний consent/evidence.
DC-M01-CAN-0008,M01,consent,evidence/reference,consent.evidence_reference,,,,TRUE,,,M01,Да для ACTIVE | Без evidence согласие не считается доказанным; hash/reference и audit linkage.,Да для ACTIVE | Без evidence согласие не считается доказанным; hash/reference и audit linkage.,,,TRUE,TRUE,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§7 Consent model,SRC-DOC-M01-I-00090,Поле / объект: evidence/reference; Обязательно: Да для ACTIVE; Implementation rule: Без evidence согласие не считается доказанным; hash/reference и audit linkage.
DC-M01-CAN-0009,M01,consent,granted_at,consent.granted_at,,Timestamp + actor/channel/evidence. expires_at только если утверждён policy.,,TRUE,,,M01,По событию | Timestamp + actor/channel/evidence. expires_at только если утверждён policy.,,,,TRUE,TRUE,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§7 Consent model,SRC-DOC-M01-I-00088,Поле / объект: granted_at / revoked_at; Обязательно: По событию; Implementation rule: Timestamp + actor/channel/evidence. expires_at только если утверждён policy.
DC-M01-CAN-0010,M01,consent,purpose grant(s),consent.purpose_grant_s,,,,TRUE,,,M01,Да | Нормализованные approved purpose codes; каждая цель разрешает только свой action set.,,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§7 Consent model,SRC-DOC-M01-I-00085,Поле / объект: purpose grant(s); Обязательно: Да; Implementation rule: Нормализованные approved purpose codes; каждая цель разрешает только свой action set.
DC-M01-CAN-0011,M01,consent,retention impact ref,consent.retention_impact_ref,,,,TRUE,,,M01,Да как policy ref | Без числа в business logic; отзыв запускает approved policy evaluation.,,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§7 Consent model,SRC-DOC-M01-I-00091,Поле / объект: retention impact ref; Обязательно: Да как policy ref; Implementation rule: Без числа в business logic; отзыв запускает approved policy evaluation.
DC-M01-CAN-0012,M01,consent,revoked_at,consent.revoked_at,,Timestamp + actor/channel/evidence. expires_at только если утверждён policy.,,TRUE,,,M01,По событию | Timestamp + actor/channel/evidence. expires_at только если утверждён policy.,,,,TRUE,TRUE,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§7 Consent model,SRC-DOC-M01-I-00088,Поле / объект: granted_at / revoked_at; Обязательно: По событию; Implementation rule: Timestamp + actor/channel/evidence. expires_at только если утверждён policy.
DC-M01-CAN-0013,M01,consent,SPOUSE,consent.spouse,,,,,,,M01,Супруг; семейная связь не равна созаёмщику. | false до явного выбора и допустимого downstream scope. | Не наследует consent основного заёмщика; данные не загружаются без собственного основания.,Супруг; семейная связь не равна созаёмщику. | false до явного выбора и допустимого downstream scope. | Не наследует consent основного заёмщика; данные не загружаются без собственного основания.,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§6 Роли участников,SRC-DOC-M01-I-00070,Роль / связь: SPOUSE; Смысл: Супруг; семейная связь не равна созаёмщику.; included_in_analysis: false до явного выбора и допустимого downstream scope.; Consent / данные: Не наследует consent основного заёмщика; данные не загружаются без собственного основания.
DC-M01-CAN-0014,M01,consent,status,consent.status,,,,TRUE,,,M01,Да | Active/expired/revoked/superseded conditions различаются; transitions append-only.,,,Да | Active/expired/revoked/superseded conditions различаются; transitions append-only.,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§7 Consent model,SRC-DOC-M01-I-00087,Поле / объект: status + status history; Обязательно: Да; Implementation rule: Active/expired/revoked/superseded conditions различаются; transitions append-only.
DC-M01-CAN-0015,M01,consent,status history,consent.status_history,,,,TRUE,,,M01,Да | Active/expired/revoked/superseded conditions различаются; transitions append-only.,,,Да | Active/expired/revoked/superseded conditions различаются; transitions append-only.,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§7 Consent model,SRC-DOC-M01-I-00087,Поле / объект: status + status history; Обязательно: Да; Implementation rule: Active/expired/revoked/superseded conditions различаются; transitions append-only.
DC-M01-CAN-0016,M01,consent,Версия и время,consent.версия_и_время,,,,,,,M01,consent text version; confirmed_at; renewal reason/expiry only if approved policy.,,,consent text version; confirmed_at; renewal reason/expiry only if approved policy.,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,B. Согласие,SRC-DOC-M01-I-00215,Блок: Версия и время; Показывать: consent text version; confirmed_at; renewal reason/expiry only if approved policy.
DC-M01-CAN-0017,M01,consent,Предупреждение,consent.предупреждение,,,,,,,M01,Текущий consent не предоставляет CASA direct bureau/ENPF access и не разрешает credentials.,Текущий consent не предоставляет CASA direct bureau/ENPF access и не разрешает credentials.,,,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,B. Согласие,SRC-DOC-M01-I-00218,Блок: Предупреждение; Показывать: Текущий consent не предоставляет CASA direct bureau/ENPF access и не разрешает credentials.
DC-M01-CAN-0018,M01,consent_evidence,consent evidence/status events,consent_evidence.consent_evidence_status_events,,,,,,,M01,Да | Grant/revoke/expire/supersede — новые events/refs. | Granted evidence не редактируется.,Да | Grant/revoke/expire/supersede — новые events/refs. | Granted evidence не редактируется.,,Да | Grant/revoke/expire/supersede — новые events/refs. | Granted evidence не редактируется.,TRUE,TRUE,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§15 Versioning / immutability,SRC-DOC-M01-I-00186,Объект: consent evidence/status events; Immutable: Да; Versioned change: Grant/revoke/expire/supersede — новые events/refs.; Historical rule: Granted evidence не редактируется.
DC-M01-CAN-0019,M01,identity_version,identity,identity_version.identity,,,,TRUE,,,M01,participant-bound logical identity | Ссылка на current identity_version; не перепривязывает historical objects.,participant-bound logical identity | Ссылка на current identity_version; не перепривязывает historical objects.,,participant-bound logical identity | Ссылка на current identity_version; не перепривязывает historical objects.,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§5 Модель case / participant / identity,SRC-DOC-M01-I-00060,Объект: identity; Scope / изменяемость: participant-bound logical identity; Обязательный контракт: Ссылка на current identity_version; не перепривязывает historical objects.
DC-M01-CAN-0020,M01,identity_version,identity_version_id,identity_version.identity_version_id,,,,TRUE,,,M01,Да | Mismatch/new identity блокирует action до нового допустимого consent.,,,Да | Mismatch/new identity блокирует action до нового допустимого consent.,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,§7 Consent model,SRC-DOC-M01-I-00084,Поле / объект: identity_version_id; Обязательно: Да; Implementation rule: Mismatch/new identity блокирует action до нового допустимого consent.
DC-M01-CAN-0021,M01,identity_version,Идентичность,identity_version.идентичность,,,,,,,M01,ФИО + masked ИИН/идентификатор + identity version/status.,,,ФИО + masked ИИН/идентификатор + identity version/status.,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,A. Клиент,SRC-DOC-M01-I-00207,Элемент: Идентичность; Показывать: ФИО + masked ИИН/идентификатор + identity version/status.
DC-M01-CAN-0022,M01,identity_version,Редактирование,identity_version.редактирование,,,,,,,M01,CTA только для разрешённых полей; critical identifier correction создаёт новую identity version.,,,CTA только для разрешённых полей; critical identifier correction создаёт новую identity version.,,,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,A. Клиент,SRC-DOC-M01-I-00210,Элемент: Редактирование; Показывать: CTA только для разрешённых полей; critical identifier correction создаёт новую identity version.
