fixture_id,module_id,fixture_type,source_file,purpose,expected_core_result,contains_real_pii,use_in_automated_tests,source_document,source_section,source_extract_id,notes
FX-IIN-R0-001,M02,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,FALSE,TRUE,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,§1 Паспорт,SRC-DOC-M02-I-00019,
FX-CH-REG-001,M03,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§1 Паспорт,SRC-DOC-M03-I-00022,
FX-PC-REG-001,M04,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§1 Паспорт,SRC-DOC-M04-I-00022,
FX-CP-001,M05,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§25 Tests CP-001…CP-035 / traceability,SRC-DOC-M05-I-00350,
FX-FIN-001,M06,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§28 Fixtures — CALC-F-001,SRC-DOC-M06-P-00352,
FX-FIN-002,M06,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§28 Fixtures — CALC-F-001,SRC-DOC-M06-P-00353,
FX-FIN-003,M06,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§28 Fixtures — CALC-F-001,SRC-DOC-M06-P-00354,
FX-FIN-004,M06,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§28 Fixtures — CALC-F-001,SRC-DOC-M06-P-00355,
FX-FIN-005,M06,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§28 Fixtures — CALC-F-001,SRC-DOC-M06-P-00356,
FX-FIN-006,M06,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§28 Fixtures — CALC-F-001,SRC-DOC-M06-P-00357,
FX-FIN-007,M06,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§28 Fixtures — CALC-F-001,SRC-DOC-M06-P-00358,
FX-FIN-008,M06,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§28 Fixtures — CALC-F-001,SRC-DOC-M06-P-00359,
FX-FIN-009,M06,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§28 Fixtures — CALC-F-001,SRC-DOC-M06-P-00360,
FX-ANN-001,M06,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,Fixtures — CALC-F-002,SRC-DOC-M06-P-00363,
FX-ANN-002,M06,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,Fixtures — CALC-F-002,SRC-DOC-M06-P-00364,
FX-ANN-003,M06,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,Fixtures — CALC-F-002,SRC-DOC-M06-P-00365,
FX-ANN-004,M06,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,Fixtures — CALC-F-002,SRC-DOC-M06-P-00366,
FX-ANN-005,M06,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,Fixtures — CALC-F-002,SRC-DOC-M06-P-00367,
FX-ANN-006,M06,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,Fixtures — CALC-F-002,SRC-DOC-M06-P-00368,
FX-ANN-007,M06,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,Fixtures — CALC-F-002,SRC-DOC-M06-P-00369,
FX-ANN-008,M06,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,Fixtures — CALC-F-002,SRC-DOC-M06-P-00370,
FX-ANN-009,M06,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,Fixtures — CALC-F-002,SRC-DOC-M06-P-00371,
FX-CALC-GOLDEN-001,M06,GOLDEN,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§29 Golden fixture FX-CALC-GOLDEN-001,SRC-DOC-M06-P-00373,
FX-FIN,M06,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,§30 AT-CALC-001…012 traceability,SRC-DOC-M06-P-00403,
FX-E2E-CASE-001,CORE,CANONICAL,See source_extract_id; raw PII/file content not copied,Canonical fixture defined by source,See source document/source_extract_id,POTENTIAL_PII_REFERENCE_ONLY,TRUE,01_CASA_Pro_ACCEPTANCE_MATRIX_v1.1,ACCEPTANCE_MATRIX,SRC-DOC-001-00150,
