document_id,module_id,physical_filename,document_name,version,document_type,source_declared_status,governance_status,governance_decision_date,governance_notes,priority,source_of_truth_for,implementation_scope,supersedes,use_for_release_1_0,future_release,notes
DOC-000,CORE,00_CASA_Pro_MASTER_v1.2.docx,00_CASA_Pro_MASTER_v1.2,1.2,MASTER,FROZEN BASELINE — изменяется только при решении CEO о scope или изменении контракта модулей.,FROZEN_BASELINE,,,P0,CORE release source of truth,Release 1.0,,TRUE,,
DOC-M01-I,M01,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1.docx,M01_CASA_Pro_Client_and_Consent_Implementation_and_Acceptance_v1.1,1.1,IMPLEMENTATION_SPEC,Implementation-layer для релиза 1.0. Техническая модель готовится отдельно от юридической готовности production.,APPROVED_IMPLEMENTATION_BASELINE,,,P0,M01 release source of truth,Release 1.0,,TRUE,,
DOC-M02-P,M02,1. CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21.docx,CASA_Pro_IIN_Check_Final_Spec_KZ_2026-08-21,2026-08-21,PRODUCTION_SPEC,Production design ready; автоматические коннекторы закрыты legal/access gates до письменного допуска,APPROVED,,,P0,M02 release source of truth,Release 1.0,,TRUE,,
DOC-M02-I,M02,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0.docx,M02_CASA_Pro_IIN_Check_R0_Implementation_and_Acceptance_v1.0,1.0,IMPLEMENTATION_SPEC,Исполнительная спецификация R0; production-коннекторы выключены deny-by-default.,APPROVED_IMPLEMENTATION_BASELINE,,,P0,M02 release source of truth,Release 1.0,,TRUE,,
DOC-M03-P,M03,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21.docx,CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21,2026-08-21,PRODUCTION_SPEC,production-ready после закрытия явно отмеченных legal/format gates,APPROVED,,,P0,M03 release source of truth,Release 1.0,,TRUE,,
DOC-M03-I,M03,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1.docx,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,1.1,IMPLEMENTATION_SPEC,APPROVED IMPLEMENTATION BASELINE после согласования владельцем,APPROVED_IMPLEMENTATION_BASELINE,,,P0,M03 release source of truth,Release 1.0,,TRUE,,
DOC-M04-P,M04,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21.docx,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,2026-08-21,PRODUCTION_SPEC,Implementation-ready после закрытия Release Gates RG-01…RG-09. До RG-02 автоматическая проверка штрих-кода запрещена; до RG-04 estimated_contribution_base для КНП 010 остаётся UNKNOWN.,APPROVED,,,P0,M04 release source of truth,Release 1.0,,TRUE,,
DOC-M04-I,M04,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0.docx,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,1.0,IMPLEMENTATION_SPEC,IMPLEMENTATION BASELINE после согласования владельцем,APPROVED_IMPLEMENTATION_BASELINE,,,P0,M04 release source of truth,Release 1.0,,TRUE,,
DOC-M05-P,M05,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21.docx,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21,2026-08-21,PRODUCTION_SPEC,implementation-ready как продуктовая спецификация. Bank-specific acceptance остаётся за следующим блоком.,APPROVED,,,P0,M05 release source of truth,Release 1.0,,TRUE,,
DOC-M05-I,M05,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1.docx,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,1.1,IMPLEMENTATION_SPEC,Implementation-layer релиза 1.0. Предметные open gates Production Spec не закрываются этим документом.,APPROVED_IMPLEMENTATION_BASELINE,,,P0,M05 release source of truth,Release 1.0,,TRUE,,
DOC-M06-P,M06,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4.docx,M06_CASA_Pro_Calculation_Engine_Production_Spec_v1.4,1.4,PRODUCTION_SPEC,READY_FOR_INDEPENDENT_APPROVAL,APPROVED_FROZEN_BY_OWNER,2026-08-24,Owner approval after independent review; document bytes unchanged. Governance decision: DEC-M06-001.,P0,M06 release source of truth,Release 1.0,M06 Production v1.0|v1.1|v1.2|v1.3,TRUE,,
DOC-M06-I,M06,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1.docx,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,1.1,IMPLEMENTATION_SPEC,READY FOR IMPLEMENTATION. Runtime PASS возникает только после фактических тестов и evidence в Acceptance Matrix.,APPROVED_IMPLEMENTATION_BASELINE,,,P0,M06 release source of truth,Release 1.0,,TRUE,,
DOC-BR-F,M07-M08,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21.docx,05_CASA_Pro_Bank_Rules_Standard_Final_Spec_KZ_2026-08-21,2026-08-21,FUTURE_REFERENCE,implementation-ready как стандарт. Наполнение конкретных банков выполняется отдельными bank research packs.,FUTURE_REFERENCE,,,FUTURE,Future Bank Rules standard structure only,Future 1.1 reference,,FALSE,1.1,
DOC-001,CORE,01_CASA_Pro_ACCEPTANCE_MATRIX_v1.1.xlsx,01_CASA_Pro_ACCEPTANCE_MATRIX_v1.1,1.1,ACCEPTANCE_MATRIX,,APPROVED,,,P0,CORE release source of truth,Release 1.0,,TRUE,,
